Age;JJR;JAKR;Blanco;NS/NC;age.18.34;age.35.54;age.mas.54;independent;unemployed;doctor;overseas
18-24;3;2;1;2;6;3;2;2;1;0;1
18-24;5;3;2;4;8;5;1;3;2;1;0
18-24;3;2;1;4;6;3;1;2;1;0;1
18-24;4;3;1;2;6;3;1;2;1;1;0
18-24;4;3;1;2;6;3;1;2;1;1;0
18-24;3;2;1;2;5;3;2;2;1;1;0
18-24;3;2;1;4;6;3;1;2;1;1;0
18-24;3;2;1;4;8;5;2;3;2;1;1
18-24;3;2;1;2;8;5;3;4;2;1;1
18-24;4;3;1;2;7;3;2;2;1;1;1
18-24;3;2;1;4;7;3;2;2;1;1;1
18-24;4;3;1;2;8;5;2;3;2;1;1
18-24;5;3;2;4;10;5;3;4;2;1;1
18-24;3;2;1;4;6;3;2;2;1;1;0
18-24;3;2;1;4;8;5;2;3;2;1;1
18-24;4;3;1;2;8;5;3;2;1;1;1
18-24;3;2;1;4;6;3;2;2;1;1;1
18-24;4;3;1;2;8;5;3;2;1;1;1
18-24;3;2;1;4;8;5;3;2;1;1;0
18-24;3;2;1;2;6;3;2;2;1;1;1
18-24;3;2;1;4;8;5;3;2;1;1;0
18-24;3;2;1;4;8;5;2;3;2;1;1
18-24;5;3;2;4;8;3;3;2;1;1;1
18-24;3;2;1;2;6;3;2;2;1;1;1
18-24;4;3;1;2;6;3;1;2;1;1;0
18-24;3;2;1;2;8;5;3;4;2;1;1
18-24;3;2;1;4;8;5;2;3;2;1;1
18-24;3;2;1;2;6;3;1;2;1;1;0
25-34;3;2;1;2;5;3;2;2;1;1;1
25-34;4;3;1;2;8;5;3;4;2;1;1
25-34;4;3;1;2;6;5;3;2;1;1;0
25-34;3;2;1;4;6;5;3;2;1;1;1
25-34;3;4;1;2;6;5;3;4;2;1;1
25-34;3;4;1;2;6;5;3;2;1;1;1
25-34;4;3;2;1;15;10;5;6;2;1;2
25-34;3;4;1;2;6;5;3;2;1;1;1
25-34;3;4;1;2;6;5;3;4;2;1;1
25-34;3;4;1;2;6;5;3;4;2;1;1
25-34;3;2;1;4;8;5;3;2;1;1;0
25-34;4;3;1;2;8;5;3;2;1;1;0
25-34;3;2;1;4;5;3;2;2;1;1;1
