Age;JJR;JAKR;Blanco;NS/NC;age.18.34;age.35.54;age.mas.54;independent;unemployed;doctor;overseas
18-24;3;4;2;6;12;5;3;4;2;1;0
18-24;2;3;1;4;8;3;1;2;1;0;1
18-24;3;4;2;5;12;4;1;3;2;1;0
18-24;3;4;2;6;12;5;1;3;2;0;1
18-24;5;3;1;2;8;4;3;2;1;1;1
18-24;4;3;1;2;7;3;2;3;1;1;0
18-24;3;2;1;4;8;5;2;3;2;1;1
18-24;4;3;1;2;6;3;1;2;1;1;0
18-24;3;2;1;4;6;3;2;2;1;1;0
18-24;4;3;1;2;7;3;2;2;1;1;1
18-24;4;3;2;1;8;5;2;3;2;1;1
18-24;3;2;1;4;8;5;3;2;1;1;0
18-24;4;3;1;2;8;5;2;3;2;1;1
18-24;4;2;1;3;8;4;2;3;2;1;1
18-24;5;3;1;2;8;4;3;2;1;1;0
18-24;3;2;1;4;6;3;2;2;1;1;0
18-24;3;2;1;4;8;5;3;2;1;1;1
18-24;3;2;1;4;7;3;2;2;1;1;1
18-24;4;2;1;3;8;4;2;3;2;1;1
18-24;3;2;1;4;6;3;2;2;1;1;1
18-24;5;3;2;4;10;6;3;2;1;1;2
18-24;4;3;1;2;6;4;2;3;2;1;1
18-24;4;2;1;3;7;4;2;3;2;1;1
18-24;3;2;1;4;6;3;2;2;1;1;1
18-24;4;2;1;3;6;3;1;2;1;1;1
18-24;3;2;1;4;8;5;2;3;2;1;1
18-24;4;3;1;2;7;3;2;2;1;1;1
18-24;4;2;1;3;8;5;2;3;2;1;1
25-34;4;3;1;2;6;5;3;4;2;1;1
25-34;4;3;1;2;7;5;3;2;1;1;1
25-34;3;4;1;2;6;5;3;2;1;1;1
25-34;3;2;1;4;6;5;3;4;2;1;1
25-34;4;3;1;2;6;4;3;2;1;1;1
25-34;5;3;2;4;8;6;3;2;1;1;1
25-34;5;4;2;3;12;8;5;4;2;1;1
25-34;4;3;1;2;7;5;3;2;1;1;1
25-34;4;3;1;2;7;5;3;4;2;1;1
25-34;4;3;1;2;6;5;3;2;1;1;1
25-34;3;2;1;4;8;5;3;4;2;1;1
25-34;3;2;1;4;5;3;2;2;1;1;0
25-34;4;3;1;2;8;5;3;3;2;1;1
25-34;4;3;1;2;8;5;3;2;1;1;0
25-34;3;4;1;2;6;5;3;2;1;1;1
25-34;5;3;1;2;8;6;4;3;2;1;1
25-34;3;2;1;4;6;5;3;2;1;1;0
25-34;3;2;1;2;8;5;3;4;2;1;1
25-34;3;2;1;4;6;5;3;2;1;1;1
25-34;4;3;1;2;10;7;3;5;2;1;2
25-34;3;2;1;4;6;5;3;2;1;1;1
25-34;3;2;1;4;6;5;2;3;2;1;1
25-34;3;4;1;2;8;5;3;4;2;1;1
25-34;4;3;2;3;6;5;3;4;2;1;1
25-34;3;2;1;2;5;3;2;2;1;1;0
25-34;4;3;1;2;6;4;3;3;1;1;2
25-34;4;3;1;2;6;5;3;4;2;1;1
25-34;3;2;1;2;5;4;3;2;1;1;1
25-34;3;2;1;4;6;5;3;2;1;1;0
25-34;3;2;1;2;5;4;2;3;1;1;1
25-34;4;3;2;1;7;5;3;4;2;1;1
25-34;3;2;1;4;8;5;3;4;2;1;1
25-34;3;2;1;4;6;5;3;4;2;1;1
25-34;4;3;2;1;8;5;3;4;2;1;2
25-34;5;4;2;3;8;5;1;3;2;1;1
25-34;3;4;1;2;8;5;3;4;2;1;1
25-34;3;2;1;4;6;5;3;2;1;1;1
25-34;3;2;1;4;8;5;3;4;2;1;1
25-34;3;2;1;4;6;5;3;2;1;1;1
35-44;4;6;2;3;5;7;3;4;2;1;1
35-44;4;3;1;2;5;6;3;4;2;1;1
35-44;4;3;2;1;5;6;3;2;1;1;0
35-44;3;4;1;2;5;6;2;3;1;2;1
35-44;3;4;1;2;5;6;2;3;1;1;0
35-44;3;4;1;2;5;6;2;3;1;1;0
35-44;4;3;1;2;5;6;3;2;1;1;1
35-44;3;4;1;2;5;6;3;4;2;1;1
35-44;3;4;1;2;5;6;3;4;2;1;1
35-44;3;4;1;2;5;6;3;4;1;2;1
35-44;4;3;2;1;5;7;3;2;1;1;0
35-44;3;4;1;2;5;6;3;2;1;1;1
35-44;3;4;1;2;5;6;3;2;1;1;1
35-44;3;4;1;2;5;6;3;2;1;1;1
35-44;4;3;2;1;5;6;3;2;1;1;1
35-44;3;4;2;5;6;8;4;3;2;1;2
35-44;3;4;1;2;5;6;3;4;1;2;1
35-44;3;4;1;2;5;6;3;2;1;1;0
35-44;3;4;1;2;5;6;3;2;1;1;0
35-44;3;4;1;2;5;7;3;2;1;1;0
35-44;3;4;1;2;5;6;3;2;1;1;0
35-44;3;4;1;2;5;7;3;4;2;1;1
35-44;3;4;1;2;5;6;2;3;1;1;1
35-44;3;4;2;1;5;6;3;2;1;1;1
35-44;3;4;1;2;5;6;3;2;1;1;1
35-44;3;4;1;2;5;6;3;2;1;1;1
35-44;3;4;1;2;5;6;3;4;2;1;1
35-44;3;4;1;2;5;6;3;2;1;1;1
35-44;3;4;1;2;5;6;2;3;1;1;0
35-44;3;4;1;2;5;6;3;4;1;2;1
35-44;4;3;1;2;5;6;3;2;1;1;0
35-44;3;2;1;4;5;6;3;2;1;1;0
35-44;3;4;1;2;5;6;3;2;1;1;1
35-44;3;4;1;2;5;7;3;2;1;1;1
35-44;3;4;1;2;5;6;3;4;2;1;2
35-44;3;4;1;2;5;6;3;4;2;1;0
45-54;3;5;1;2;4;6;3;2;1;1;1
45-54;3;4;1;2;5;6;3;4;2;1;1
45-54;3;4;1;2;5;7;3;4;1;2;1
45-54;3;4;1;2;5;7;3;2;1;1;0
45-54;3;4;1;2;5;6;3;2;1;1;1
45-54;4;5;2;3;6;7;1;3;2;1;0
45-54;4;5;2;3;6;8;5;3;2;1;2
45-54;3;4;1;2;5;6;3;2;1;1;1
45-54;3;4;1;2;5;6;3;4;1;2;0
45-54;3;4;1;2;5;6;3;2;1;1;0
45-54;4;3;2;1;5;6;3;2;1;1;1
45-54;3;4;1;2;5;6;3;4;1;2;1
45-54;3;4;1;2;5;6;3;2;1;1;0
45-54;3;4;1;2;5;6;3;4;1;2;1
45-54;3;5;1;2;4;6;3;2;1;1;0
45-54;3;4;1;2;5;6;3;2;1;1;0
45-54;4;5;2;3;6;7;4;3;2;1;1
45-54;3;4;1;2;5;7;3;4;2;1;0
45-54;3;4;1;2;5;6;4;3;1;2;1
45-54;3;4;1;2;5;6;3;2;1;1;0
45-54;3;4;1;2;5;6;3;2;1;1;0
45-54;3;4;1;2;5;6;3;2;1;1;0
45-54;3;4;1;2;5;6;3;2;1;1;0
45-54;3;4;2;1;5;6;3;2;1;1;0
45-54;3;4;1;2;5;6;3;2;1;1;0
45-54;3;4;1;2;5;7;3;2;1;1;1
45-54;3;4;1;2;5;6;3;2;1;1;0
45-54;3;4;1;2;5;6;3;2;1;1;1
45-54;3;4;1;2;5;7;3;4;1;2;1
45-54;3;4;1;2;5;6;3;2;1;1;0
45-54;3;4;1;2;5;6;3;2;1;1;1
45-54;3;4;1;2;5;7;3;2;1;1;0
>54;3;5;2;4;2;3;7;2;1;1;1
>54;3;5;1;2;2;4;5;3;1;2;1
>54;3;5;1;2;2;3;6;2;1;1;0
>54;3;5;1;2;2;3;5;2;1;1;0
