Age;JJR;JAKR;Blanco;NS/NC;age.18.34;age.35.54;age.mas.54;independent;unemployed;doctor;overseas
18-24;0;1;0;3;3;1;0;1;0;0;0
18-24;0;1;0;2;2;1;0;1;0;0;0
18-24;0;1;0;3;2;1;1;1;0;0;0
18-24;2;3;1;4;5;3;2;1;0;0;1
18-24;3;4;2;5;6;5;3;2;1;0;1
18-24;0;2;1;3;4;1;1;1;0;0;0
18-24;3;4;2;5;6;4;4;3;1;0;1
18-24;0;1;0;3;2;1;1;1;0;0;0
18-24;0;1;2;3;4;2;0;1;0;0;0
18-24;3;4;2;5;6;4;4;3;1;0;1
18-24;3;4;1;2;5;3;2;1;0;0;0
18-24;5;3;2;4;6;5;3;2;1;0;1
18-24;2;3;1;4;5;3;2;2;1;0;1
18-24;3;4;2;5;6;4;2;3;1;0;1
18-24;5;7;2;3;10;4;3;2;1;0;1
18-24;3;4;2;5;6;4;4;3;1;0;1
18-24;0;2;1;3;4;2;0;1;0;0;0
18-24;0;1;2;3;4;3;2;1;0;0;0
18-24;0;2;1;3;4;1;0;2;1;0;0
18-24;0;2;1;3;4;2;0;1;0;0;0
18-24;0;2;1;3;4;3;1;2;1;0;0
18-24;0;2;1;5;4;3;1;2;1;0;0
18-24;5;7;3;4;10;6;3;2;1;0;1
18-24;0;1;0;3;3;1;0;1;0;0;0
18-24;3;4;1;5;6;4;2;3;1;0;1
18-24;5;3;2;4;6;5;3;2;1;0;1
18-24;0;1;2;3;4;3;2;1;0;0;1
18-24;3;2;1;4;5;3;2;2;1;0;0
25-34;0;2;1;3;4;2;0;1;0;0;0
25-34;0;2;1;3;3;2;1;1;0;0;0
25-34;5;7;2;6;8;6;6;3;1;0;1
25-34;3;4;2;5;6;4;4;3;1;0;1
25-34;4;5;3;8;9;7;4;3;2;1;1
25-34;0;1;0;3;2;1;1;1;0;0;0
25-34;0;2;1;5;4;3;1;2;0;0;1
25-34;3;4;2;5;6;4;4;3;1;0;1
25-34;0;2;1;3;4;2;0;1;0;0;0
25-34;3;4;2;5;6;4;4;3;1;0;1
25-34;3;4;1;2;5;3;2;1;0;0;0
25-34;0;1;0;3;2;1;1;1;0;0;0
25-34;0;2;1;3;4;1;1;2;0;0;0
25-34;3;4;2;5;6;5;3;2;1;0;1
25-34;5;8;2;4;10;6;3;4;1;0;1
25-34;0;2;1;3;4;2;0;1;0;0;0
25-34;0;2;1;3;2;3;1;1;0;0;0
25-34;5;3;2;4;6;5;3;4;1;0;1
25-34;5;4;2;3;6;4;4;3;1;0;1
25-34;2;3;1;4;5;3;2;2;1;0;0
25-34;0;1;0;3;2;1;1;1;0;0;0
25-34;3;4;1;2;5;3;2;1;0;0;0
25-34;5;7;2;4;6;8;4;3;1;0;1
25-34;0;3;1;6;4;3;3;2;1;0;1
25-34;3;4;2;5;6;5;3;4;1;0;1
25-34;3;4;2;5;6;5;3;4;1;0;1
25-34;3;4;2;5;6;4;4;3;1;0;1
25-34;3;4;2;5;6;4;4;3;1;0;1
25-34;3;4;2;5;6;4;4;3;1;0;1
25-34;5;7;2;3;4;6;2;3;1;0;1
25-34;0;1;0;3;2;1;1;1;0;0;0
25-34;5;4;2;3;6;5;3;4;1;0;1
25-34;0;2;1;5;4;3;1;2;0;0;0
25-34;12;8;5;7;10;12;10;4;2;1;0
25-34;5;7;2;4;6;8;4;3;1;0;1
25-34;0;2;1;3;2;3;1;1;0;0;0
25-34;3;5;2;4;6;5;3;2;1;0;1
25-34;0;1;0;3;2;1;1;1;0;0;0
25-34;5;7;3;4;6;8;5;3;2;1;1
35-44;4;6;2;8;7;10;3;5;2;1;1
35-44;5;7;2;6;4;9;7;3;1;0;1
35-44;5;7;2;4;6;8;4;3;1;0;1
35-44;3;4;2;5;4;7;3;2;1;0;1
35-44;0;2;1;3;2;3;1;1;0;0;0
35-44;3;4;2;5;4;6;1;3;1;0;0
35-44;0;1;0;3;2;1;1;0;0;0;0
35-44;3;5;2;4;4;6;2;3;1;0;1
35-44;0;3;1;6;4;5;1;2;0;0;1
35-44;0;2;1;3;2;3;1;1;0;0;0
35-44;0;2;1;3;2;3;1;1;0;0;0
35-44;2;3;1;4;3;5;2;1;0;0;0
35-44;0;2;1;3;2;3;1;1;0;0;0
35-44;3;4;2;5;4;6;2;3;1;0;1
35-44;2;3;1;4;3;5;2;1;1;0;0
35-44;3;4;2;5;4;6;4;3;1;0;1
35-44;3;4;2;5;4;6;4;3;1;0;1
35-44;2;3;1;4;1;3;2;1;0;0;0
35-44;2;3;1;4;3;5;2;1;1;0;0
35-44;3;4;2;5;4;6;1;3;1;0;1
35-44;3;4;2;5;4;6;4;3;1;0;1
35-44;5;7;2;3;4;6;2;3;1;0;1
35-44;3;4;2;5;4;6;4;3;1;0;1
35-44;5;7;2;6;4;7;3;3;1;0;1
35-44;5;7;3;4;6;8;5;2;1;0;1
35-44;0;2;1;3;2;3;1;1;0;0;0
35-44;5;3;2;4;3;6;2;1;1;0;0
35-44;0;2;1;3;2;3;1;1;0;0;0
35-44;3;4;2;5;4;6;2;3;1;0;1
35-44;3;5;2;4;3;5;1;2;1;0;0
35-44;3;4;2;5;4;6;4;3;1;0;1
35-44;0;2;1;3;2;3;1;1;0;0;0
35-44;5;7;2;4;6;8;4;3;1;0;1
35-44;0;1;0;3;1;2;1;0;0;0;0
35-44;2;3;1;4;3;5;2;2;1;0;0
35-44;5;7;2;6;4;10;6;3;1;0;1
45-54;3;5;2;4;4;6;4;3;1;0;1
45-54;0;2;1;3;2;3;1;1;0;0;0
45-54;3;4;1;2;1;5;3;2;0;0;1
45-54;0;2;1;3;2;3;1;1;0;0;0
45-54;0;2;1;3;1;3;2;1;0;0;0
45-54;0;2;1;3;2;3;1;1;0;0;0
45-54;0;2;1;3;2;3;1;1;0;0;0
45-54;0;2;1;3;2;3;1;1;0;0;0
45-54;0;2;1;3;1;3;2;1;0;0;0
45-54;3;4;2;5;4;6;4;2;1;0;1
45-54;3;5;2;4;3;6;5;2;1;0;1
45-54;3;5;2;4;2;6;4;3;1;0;1
45-54;0;1;0;3;1;2;1;0;0;0;0
45-54;5;7;2;3;4;6;3;2;1;0;1
45-54;12;8;3;5;7;12;9;4;1;0;2
45-54;0;1;0;2;1;2;0;1;0;0;0
45-54;3;5;2;4;2;6;2;1;1;0;0
45-54;0;1;0;0;0;1;0;0;0;0;0
45-54;0;1;0;3;1;2;1;1;0;0;0
45-54;2;3;1;4;3;4;3;2;1;0;0
45-54;0;2;1;3;2;3;1;1;0;0;0
45-54;5;7;2;3;4;6;3;2;1;0;1
45-54;3;4;1;2;4;3;3;2;1;0;0
45-54;2;3;1;4;3;5;2;1;0;0;0
45-54;0;2;1;3;1;3;2;1;0;0;0
45-54;3;4;2;5;4;6;4;3;1;0;1
45-54;12;9;3;6;8;10;12;4;2;1;0
45-54;5;7;2;3;4;6;7;3;1;0;1
45-54;0;2;1;3;2;3;1;1;0;0;0
45-54;3;5;2;4;4;6;4;3;1;0;1
45-54;0;2;1;3;2;3;1;1;0;0;0
45-54;5;7;2;4;3;8;7;2;1;0;1
>54;0;3;1;2;1;2;2;1;0;0;0
>54;0;2;1;3;1;2;3;1;0;0;0
>54;0;2;1;3;1;2;3;1;0;0;0
>54;12;8;3;5;4;10;14;6;2;1;0
>54;0;3;1;2;1;3;2;1;0;0;0
>54;0;3;1;2;1;3;2;1;0;0;0
>54;5;7;2;4;3;6;9;2;1;0;1
>54;0;1;0;0;0;0;1;0;0;0;0
>54;3;5;2;8;4;6;8;3;1;0;1
>54;3;5;2;4;2;4;8;1;0;0;0
>54;0;2;1;3;1;2;3;1;0;0;0
>54;0;2;1;3;1;2;3;1;0;0;0
>54;0;1;0;3;1;1;2;0;0;0;0
>54;12;8;3;5;4;10;14;6;1;0;2
