Age;FPF;JJR;MAE-OG;JKB-VH;JAKR;EAAB;EMF;HM-NS;Blanco;NS/NC;edad.18.34;edad.35.54;edad.mas.54;independent;unemployed;overseas
18-24;2;1;1;1;3;1;4;1;2;4;10;6;4;5;3;2
18-24;0;1;0;0;2;0;1;0;1;3;4;2;1;1;0;0
18-24;5;3;2;1;4;0;6;1;2;3;12;4;3;5;2;1
18-24;3;1;0;0;2;0;2;0;1;3;4;3;3;2;1;0
18-24;3;2;1;0;2;0;3;1;1;4;6;3;2;2;1;0
18-24;3;2;1;0;4;0;3;1;2;5;8;4;3;2;1;0
18-24;3;1;0;0;2;0;4;0;1;2;6;3;2;4;1;0
18-24;2;1;1;0;3;0;4;0;1;2;8;4;2;3;1;0
18-24;3;2;1;0;4;0;5;1;2;6;11;4;3;5;2;0
18-24;5;3;2;1;4;0;6;1;2;3;10;6;4;5;2;1
18-24;0;1;0;0;1;0;2;0;1;3;4;2;2;1;1;0
18-24;0;1;0;0;2;0;1;0;1;3;5;2;0;4;1;0
18-24;3;1;0;0;2;0;1;0;2;4;7;3;3;2;1;0
18-24;3;1;2;0;4;0;5;1;2;3;14;5;2;4;1;0
18-24;2;1;1;1;3;1;4;1;2;4;10;7;3;5;3;1
18-24;3;1;0;0;2;0;4;0;1;5;6;4;2;3;1;0
18-24;3;1;2;0;2;0;4;1;1;2;8;4;3;2;1;0
18-24;0;1;0;0;1;0;2;0;1;3;4;2;1;3;1;0
18-24;5;2;1;0;3;0;4;1;2;3;8;6;3;4;1;0
18-24;12;5;3;1;4;0;6;2;3;7;15;10;6;8;2;1
18-24;5;3;2;1;4;0;6;1;2;3;8;5;4;3;2;1
18-24;3;2;1;0;4;0;3;1;2;5;6;4;3;2;1;0
18-24;3;2;1;0;4;0;3;1;2;5;8;4;2;3;1;0
18-24;0;1;0;0;1;0;2;0;1;3;4;2;1;2;1;0
18-24;3;2;1;0;2;0;4;1;1;3;8;4;3;5;2;1
18-24;3;1;0;0;2;0;4;0;1;5;8;4;3;2;1;0
18-24;0;1;0;0;2;0;1;0;1;3;4;2;1;2;1;0
18-24;2;1;1;1;3;0;4;1;2;5;10;6;4;3;2;1
25-34;0;1;2;0;3;0;4;1;1;2;6;5;3;4;1;0
25-34;2;1;3;1;4;0;5;1;1;2;9;7;4;4;2;1
25-34;0;1;0;0;2;0;3;0;1;4;6;3;2;2;1;0
25-34;3;2;1;0;2;0;4;1;1;2;6;5;3;4;1;0
25-34;12;3;2;1;4;0;5;1;3;7;10;8;5;6;2;1
25-34;8;5;3;1;6;0;4;2;3;7;12;8;6;5;2;1
25-34;0;1;1;0;2;0;3;0;1;4;6;3;2;4;1;0
25-34;3;1;0;0;2;0;4;0;1;2;7;3;2;4;1;0
25-34;3;2;1;0;4;0;5;1;2;3;8;4;3;5;1;0
25-34;3;1;2;0;4;0;5;1;2;3;8;5;3;4;2;1
25-34;12;5;3;1;4;0;6;2;3;7;18;10;6;8;2;1
25-34;3;1;0;0;2;0;4;1;2;7;8;6;3;5;1;0
25-34;3;2;1;0;4;0;5;1;2;3;7;4;3;5;1;0
25-34;3;1;2;0;4;0;5;1;2;3;6;4;1;3;1;0
25-34;5;3;2;1;6;1;4;1;3;5;12;7;6;4;2;1
25-34;3;2;1;0;4;0;3;0;2;5;6;4;2;3;1;0
25-34;3;2;1;0;4;0;5;1;2;3;8;4;3;2;1;0
25-34;3;1;2;0;2;0;4;1;1;2;5;6;3;4;1;0
25-34;3;2;1;0;4;0;5;1;2;3;7;5;4;3;1;0
25-34;12;5;3;1;7;0;8;2;4;6;18;7;3;5;2;1
25-34;3;2;1;0;4;0;5;1;2;6;7;5;3;4;1;0
25-34;3;1;2;0;2;0;4;1;2;3;6;4;3;5;1;0
25-34;3;2;1;0;4;0;3;1;2;5;6;4;3;2;1;0
25-34;12;5;3;1;7;0;6;2;4;8;10;6;7;9;3;1
25-34;3;2;1;0;4;0;5;1;2;3;8;5;3;4;1;0
