Age;JJR;JAKR;Blanco;NS/NC;age.18.34;age.35.54;age.mas.54;independent;unemployed;doctor;overseas
18-24;6;5;3;6;12;6;2;5;3;1;2
18-24;6;5;4;5;10;7;3;6;3;1;2
18-24;8;5;3;4;12;6;2;5;3;1;2
18-24;7;5;3;5;10;7;3;4;3;1;2
18-24;6;5;4;5;10;7;3;6;4;2;3
18-24;7;6;3;4;10;6;4;5;3;1;2
18-24;7;6;3;4;12;6;2;5;3;1;2
18-24;6;5;4;5;10;6;4;5;3;2;4
18-24;6;5;4;5;12;6;2;5;3;1;2
18-24;6;5;3;6;10;7;3;5;2;1;2
18-24;7;5;3;5;12;6;2;4;3;1;2
18-24;7;5;3;5;12;6;2;4;3;1;2
18-24;12;6;5;7;18;9;3;8;4;1;2
18-24;7;5;3;5;12;6;2;6;3;1;2
18-24;6;5;4;5;14;4;2;6;3;1;2
18-24;6;5;3;6;12;5;3;4;3;1;2
18-24;6;5;3;6;10;7;3;4;2;1;2
18-24;6;5;4;5;12;6;2;5;3;1;2
18-24;6;5;4;5;10;7;3;6;3;1;2
18-24;6;5;3;6;12;6;2;5;2;1;3
18-24;6;7;3;4;10;7;3;5;3;2;2
18-24;6;5;3;6;12;6;2;4;3;1;2
18-24;6;5;3;6;12;6;2;5;3;1;2
18-24;6;4;3;7;12;6;2;5;2;1;1
18-24;7;5;4;4;14;5;1;6;3;1;2
18-24;5;4;3;8;10;6;4;5;2;1;2
18-24;6;5;3;6;12;5;3;4;3;1;2
18-24;8;6;5;6;14;7;4;6;4;1;2
25-34;7;6;3;4;9;7;4;6;3;2;1
25-34;6;5;4;5;8;7;5;6;2;1;2
25-34;6;5;3;6;9;7;4;4;2;1;3
25-34;7;6;3;4;9;7;4;5;2;1;3
25-34;7;6;3;4;9;7;4;5;3;1;2
25-34;6;5;4;5;9;7;4;6;2;1;2
25-34;7;5;3;5;8;7;5;4;2;1;3
25-34;7;5;3;5;8;7;5;6;3;1;2
25-34;6;5;3;6;8;7;5;4;2;1;3
25-34;7;6;3;4;8;7;5;5;2;1;3
25-34;7;6;3;4;8;7;5;5;2;1;3
25-34;7;6;3;4;8;7;5;6;2;1;3
25-34;8;10;5;7;12;11;7;6;3;2;4
25-34;6;7;3;4;8;7;5;5;2;1;2
25-34;6;5;4;5;9;7;4;6;3;2;1
25-34;5;3;2;4;7;5;2;3;1;1;2
25-34;6;5;4;5;8;7;5;4;2;1;3
25-34;7;6;3;4;8;7;5;6;3;2;2
25-34;6;5;4;5;8;7;5;6;3;2;1
25-34;7;6;3;4;8;7;5;5;3;2;1
25-34;7;6;3;4;8;7;5;5;3;2;2
25-34;7;6;3;4;9;7;4;5;2;1;2
25-34;7;6;3;4;9;7;4;5;2;1;3
25-34;6;7;3;4;8;7;5;5;2;1;3
25-34;7;5;4;4;8;7;5;6;2;1;3
25-34;5;6;3;6;9;7;4;4;2;1;2
25-34;6;5;3;6;8;7;5;5;2;1;3
25-34;6;5;3;6;9;7;4;6;3;2;4
25-34;6;5;4;5;8;7;5;4;3;1;2
25-34;6;5;4;5;8;7;5;6;3;1;2
25-34;7;6;3;4;9;7;4;6;2;1;3
25-34;7;6;3;4;9;7;4;5;2;1;2
25-34;7;6;3;4;9;7;4;5;2;1;2
25-34;6;5;3;6;9;7;4;6;3;2;1
25-34;7;6;4;3;8;7;5;6;2;1;2
25-34;6;5;4;5;8;7;5;6;2;1;3
25-34;6;5;3;6;8;7;5;5;3;2;2
25-34;6;5;3;6;8;7;5;5;3;1;2
25-34;6;5;4;5;7;9;4;6;2;1;3
35-44;8;10;5;7;8;15;7;9;3;2;4
35-44;6;5;3;6;7;9;4;6;2;1;2
35-44;6;5;4;5;7;9;4;6;3;2;2
35-44;6;7;3;4;5;10;5;6;2;1;3
35-44;7;6;3;4;6;9;5;5;2;1;2
35-44;6;5;4;5;6;9;5;6;2;1;2
35-44;6;7;3;4;7;9;4;5;2;1;2
35-44;6;5;3;6;7;9;4;6;2;1;3
