age;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
18-24;5;3;2;4;1;5;12;5;3;2;1;2
18-24;4;3;2;5;1;5;14;4;2;2;1;3
18-24;6;4;3;5;2;7;18;6;3;2;1;4
18-24;5;4;3;6;2;7;18;7;2;3;1;4
18-24;5;4;2;3;1;5;13;4;3;2;1;3
18-24;5;4;3;6;2;8;20;5;3;2;1;4
18-24;6;5;3;4;2;5;18;5;2;3;1;4
18-24;6;4;2;3;1;4;13;4;3;2;1;3
18-24;5;4;2;3;1;5;13;4;3;2;1;3
18-24;6;4;3;5;2;5;18;4;3;2;0;3
18-24;4;3;2;5;1;3;12;3;1;2;0;2
18-24;5;3;2;4;1;5;12;4;4;2;1;3
18-24;6;4;2;3;1;4;13;3;1;2;0;2
18-24;5;4;2;3;1;5;13;4;3;2;1;3
18-24;6;4;2;5;1;7;18;4;3;2;0;3
18-24;6;4;2;5;1;7;18;5;2;3;1;4
18-24;6;4;2;3;1;4;13;4;3;2;1;3
18-24;6;4;2;3;1;4;14;3;1;2;0;3
25-34;8;6;4;5;2;5;18;10;2;3;1;2
25-34;7;5;3;4;2;4;13;5;3;2;1;2
25-34;8;5;3;4;2;6;12;7;3;3;1;2
25-34;8;6;3;5;2;6;14;7;3;4;1;2
25-34;8;5;3;4;2;6;12;7;3;4;1;2
25-34;8;5;3;4;2;6;12;6;4;3;1;2
25-34;7;5;3;4;2;4;10;8;3;2;1;2
25-34;7;5;3;4;2;6;10;8;4;3;1;2
25-34;8;5;3;4;2;6;12;9;7;3;1;2
25-34;8;6;3;4;2;7;12;10;8;3;1;2
25-34;8;5;3;4;2;6;12;8;3;4;1;2
25-34;8;5;3;4;2;6;14;8;6;3;1;2
25-34;8;5;3;4;2;6;12;8;4;3;1;2
25-34;8;5;3;4;2;6;12;8;4;3;1;2
25-34;8;5;3;4;2;6;15;9;4;3;1;2
25-34;6;4;3;5;2;5;12;7;6;3;1;2
25-34;7;5;3;4;2;6;15;8;4;3;1;2
25-34;8;5;3;4;2;6;12;10;6;3;1;2
25-34;8;5;3;4;2;6;12;8;4;3;1;2
25-34;8;5;3;4;2;6;12;10;6;3;1;2
25-34;6;4;3;5;2;5;12;8;5;3;1;2
25-34;7;5;3;4;2;6;12;8;7;3;1;2
25-34;8;5;3;4;2;6;12;9;7;3;1;2
25-34;6;4;3;5;2;5;12;6;2;3;1;2
25-34;6;4;2;3;1;4;9;6;1;2;1;2
35-44;9;7;4;5;2;6;8;10;5;3;1;2
35-44;9;6;4;3;2;6;5;11;4;3;1;2
35-44;8;5;3;4;2;6;7;11;4;3;1;2
35-44;9;6;4;3;2;6;7;10;3;2;1;2
35-44;8;5;3;4;2;6;7;10;5;3;1;2
35-44;8;5;3;4;2;6;7;10;5;3;1;2
