age;income;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
18-24;110.000-131.999;4;3;2;2;1;3;5;4;6;2;1;1
18-24;<22.000;3;4;1;6;2;8;14;6;4;1;0;3
18-24;<22.000;4;6;1;5;2;7;15;5;5;1;0;4
18-24;<22.000;3;4;1;5;2;7;12;4;6;1;0;3
18-24;<22.000;3;4;1;5;2;7;11;5;6;1;0;4
18-24;<22.000;3;4;1;5;2;6;13;4;4;2;0;3
18-24;<22.000;3;4;1;5;2;7;13;5;4;1;0;3
18-24;<22.000;4;6;2;5;3;7;15;7;5;2;1;4
18-24;22.000-43.999;6;4;3;5;2;7;15;6;6;3;1;4
18-24;22.000-43.999;12;9;6;4;3;5;20;12;7;3;1;4
18-24;22.000-43.999;6;5;3;4;2;7;13;8;6;2;1;3
18-24;44.000-65.999;8;6;3;5;2;4;12;6;10;2;1;3
18-24;44.000-65.999;8;5;3;4;2;6;12;10;6;3;1;2
18-24;44.000-65.999;6;5;2;4;1;7;12;6;7;3;1;2
18-24;Pref. no;4;5;2;3;1;5;10;7;3;2;1;2
18-24;Pref. no;4;3;2;5;1;6;11;6;4;2;1;3
18-24;Pref. no;7;5;3;4;2;9;12;9;9;3;1;4
18-24;Pref. no;6;4;2;3;1;4;12;6;2;3;1;2
25-34;88.000-109.999;12;7;5;4;2;6;18;12;6;4;1;2
25-34;88.000-109.999;12;9;5;7;3;8;18;16;10;6;2;4
25-34;<22.000;3;4;1;2;2;5;9;5;3;2;1;3
25-34;<22.000;3;5;1;4;2;6;12;6;3;1;0;4
25-34;<22.000;4;3;2;5;1;6;10;6;5;2;1;3
25-34;<22.000;6;5;2;4;1;7;10;5;3;1;0;4
25-34;<22.000;6;5;3;4;2;7;12;6;9;3;1;4
25-34;<22.000;4;5;2;3;1;6;10;6;5;2;1;3
25-34;<22.000;4;3;2;5;1;7;10;6;6;2;1;3
25-34;22.000-43.999;8;5;3;4;2;6;12;10;6;3;1;2
25-34;22.000-43.999;8;6;3;4;2;7;12;9;9;3;1;4
25-34;22.000-43.999;12;8;4;6;3;7;18;12;10;2;1;3
25-34;22.000-43.999;7;5;3;4;2;6;12;9;6;3;1;2
25-34;22.000-43.999;6;5;2;3;1;8;10;5;10;2;1;3
25-34;22.000-43.999;6;4;2;3;1;4;9;5;6;2;1;3
25-34;22.000-43.999;12;8;5;6;3;10;18;15;11;4;2;3
25-34;22.000-43.999;12;8;5;6;3;7;15;10;6;2;1;3
25-34;22.000-43.999;8;6;3;4;2;7;12;10;8;3;1;2
25-34;44.000-65.999;12;7;5;4;3;9;15;10;5;3;2;2
25-34;44.000-65.999;12;6;4;3;2;8;14;10;11;5;1;2
25-34;66.000-87.999;12;6;5;4;2;3;14;10;8;5;2;1
25-34;66.000-87.999;12;8;5;7;3;6;18;14;9;4;2;3
25-34;66.000-87.999;12;8;5;6;3;4;18;12;8;6;2;1
35-44;88.000-109.999;12;6;5;4;3;10;8;17;15;6;2;3
35-44;88.000-109.999;12;6;4;5;2;7;8;14;14;3;1;2
35-44;88.000-109.999;12;8;4;5;3;6;10;18;10;4;2;3
35-44;110.000-131.999;12;5;4;3;2;9;8;10;7;4;2;1
35-44;110.000-131.999;12;6;4;3;2;8;10;12;13;5;2;1
35-44;110.000-131.999;12;7;4;3;2;5;9;16;8;4;2;1
35-44;<22.000;3;5;1;4;2;6;7;10;4;1;0;5
35-44;<22.000;3;4;1;2;2;5;6;7;4;1;0;3
35-44;<22.000;5;4;2;3;1;7;6;8;8;2;0;3
35-44;<22.000;4;5;1;3;2;7;6;5;4;1;0;3
35-44;<22.000;4;3;2;3;1;7;6;5;2;1;0;4
35-44;<22.000;7;5;3;4;2;9;8;10;12;3;1;4
35-44;<22.000;4;3;2;1;1;6;5;7;5;1;0;3
35-44;<22.000;3;4;2;5;1;6;7;5;3;1;0;2
35-44;<22.000;7;5;3;4;2;9;8;10;12;2;1;4
35-44;<22.000;3;4;2;3;1;7;5;6;3;2;0;4
35-44;22.000-43.999;7;5;2;3;1;6;8;6;10;3;1;2
35-44;22.000-43.999;12;9;4;6;3;5;10;16;13;3;1;2
35-44;22.000-43.999;7;5;3;4;2;6;8;10;9;3;1;2
35-44;22.000-43.999;12;9;4;5;3;7;10;16;14;3;1;2
35-44;22.000-43.999;12;8;5;3;2;10;9;14;7;4;1;6
35-44;22.000-43.999;12;9;5;6;3;10;11;18;6;4;1;3
35-44;44.000-65.999;12;5;4;3;2;4;6;10;4;3;1;2
35-44;44.000-65.999;12;8;4;5;3;6;9;15;14;4;1;2
35-44;44.000-65.999;12;8;3;4;2;6;10;18;7;3;2;1
35-44;44.000-65.999;12;7;4;3;2;5;9;18;6;4;1;2
35-44;66.000-87.999;12;6;5;4;3;10;7;14;9;4;2;3
35-44;66.000-87.999;12;7;5;4;2;6;8;15;13;3;2;1
35-44;66.000-87.999;12;8;5;4;3;8;10;15;15;6;2;4
35-44;66.000-87.999;12;7;5;4;3;9;10;15;5;4;2;1
35-44;66.000-87.999;12;7;3;4;2;5;6;16;11;4;2;1
44-54;88.000-109.999;12;5;4;3;2;4;5;14;11;6;2;1
44-54;88.000-109.999;12;9;4;3;2;5;8;17;10;4;2;1
44-54;88.000-109.999;12;8;5;3;2;6;7;14;15;4;2;1
44-54;110.000-131.999;12;5;4;3;2;4;6;10;14;5;3;2
44-54;110.000-131.999;12;8;5;3;2;6;7;15;14;4;3;2
44-54;110.000-131.999;12;6;4;3;2;8;5;15;15;6;2;1
44-54;110.000-131.999;12;5;3;2;1;7;4;10;16;6;2;1
44-54;<22.000;7;9;3;5;2;6;8;10;14;1;0;4
44-54;<22.000;3;4;1;2;2;5;4;6;7;1;0;3
44-54;<22.000;4;6;2;3;1;4;5;8;7;1;0;3
44-54;<22.000;4;3;2;1;2;5;3;6;8;1;0;4
44-54;<22.000;4;3;2;1;2;5;3;6;8;2;0;4
44-54;<22.000;4;6;1;3;2;5;3;6;12;2;0;4
44-54;<22.000;7;5;2;3;1;4;5;8;9;3;1;2
44-54;<22.000;3;4;2;1;1;5;4;5;7;2;0;3
44-54;<22.000;7;5;3;4;2;9;6;8;6;2;1;3
44-54;<22.000;5;4;2;3;1;6;4;7;10;2;1;3
44-54;22.000-43.999;7;6;3;4;2;5;6;10;11;3;1;4
44-54;22.000-43.999;7;5;3;4;2;9;6;8;6;2;1;3
44-54;22.000-43.999;7;5;3;4;2;6;4;12;11;3;1;2
44-54;22.000-43.999;12;9;5;4;3;7;6;18;16;4;2;3
44-54;22.000-43.999;12;8;6;4;3;7;9;11;10;2;1;5
44-54;22.000-43.999;12;9;6;4;3;5;10;18;11;4;1;3
44-54;44.000-65.999;12;9;5;4;3;7;6;14;10;3;1;2
44-54;44.000-65.999;12;9;4;3;2;5;6;13;16;4;2;3
44-54;44.000-65.999;12;9;4;3;2;5;7;15;13;4;1;2
44-54;44.000-65.999;12;8;5;3;2;6;7;13;16;4;1;3
44-54;44.000-65.999;12;9;5;4;3;7;8;16;16;4;2;3
44-54;66.000-87.999;12;6;4;3;2;8;7;10;8;4;2;1
44-54;66.000-87.999;12;7;5;4;2;6;8;14;14;3;1;2
44-54;66.000-87.999;12;8;5;3;2;6;7;15;14;4;2;3
44-54;66.000-87.999;12;6;4;3;2;8;6;12;17;4;2;3
44-54;66.000-87.999;12;6;3;4;2;8;6;12;17;4;2;3
44-54;66.000-87.999;12;8;5;4;3;6;9;14;15;4;2;1
44-54;66.000-87.999;12;8;4;3;2;6;5;15;15;4;2;1
44-54;66.000-87.999;12;7;4;3;2;5;6;15;12;4;2;3
44-54;66.000-87.999;12;9;5;3;2;4;6;16;13;3;1;2
44-54;66.000-87.999;12;8;4;3;2;6;10;14;11;5;2;3
44-54;66.000-87.999;12;8;6;4;3;7;10;16;14;5;2;3
44-54;Pref. no;12;8;6;4;3;7;10;15;15;5;2;3
>54;88.000-109.999;12;8;5;4;3;6;7;10;21;4;2;1
>54;88.000-109.999;12;8;4;3;2;6;7;10;18;5;2;1
>54;88.000-109.999;12;6;4;3;2;8;5;10;20;4;2;3
>54;88.000-109.999;12;8;5;3;2;6;7;10;19;4;2;1
>54;88.000-109.999;12;8;4;3;2;6;7;11;17;3;2;1
>54;88.000-109.999;12;9;6;4;3;5;7;10;22;6;2;1
>54;88.000-109.999;12;8;6;4;3;7;6;11;13;5;2;1
>54;88.000-109.999;12;7;3;4;2;5;6;9;18;4;2;1
>54;88.000-109.999;12;7;5;4;3;9;6;10;24;5;2;1
>54;88.000-109.999;12;8;5;3;2;10;7;10;23;4;2;1
>54;88.000-109.999;12;8;4;3;2;6;5;10;20;3;2;1
>54;88.000-109.999;15;8;5;4;3;10;6;12;27;7;2;1
>54;88.000-109.999;12;8;4;3;2;6;7;10;18;5;2;1
>54;88.000-109.999;12;8;4;5;3;6;7;15;16;4;2;1
>54;88.000-109.999;12;7;5;3;2;6;6;10;19;4;2;1
>54;110.000-131.999;12;7;6;3;2;5;6;10;19;4;2;1
>54;110.000-131.999;12;7;5;4;2;10;6;9;25;8;3;2
>54;110.000-131.999;12;8;4;3;2;6;7;10;18;5;2;1
>54;110.000-131.999;12;6;3;4;2;5;7;10;15;4;2;1
>54;110.000-131.999;12;8;4;3;2;6;5;14;16;3;2;1
>54;<22.000;4;6;1;3;2;5;3;6;12;2;0;4
>54;<22.000;6;8;3;4;2;5;7;9;12;2;1;3
>54;<22.000;12;8;4;5;3;6;7;10;21;4;1;6
>54;<22.000;8;5;2;3;1;6;4;7;14;2;1;3
>54;<22.000;6;4;2;3;1;8;5;7;12;2;1;3
>54;<22.000;8;5;2;3;1;6;7;5;13;2;1;4
>54;<22.000;4;5;1;3;2;5;4;6;10;2;1;3
>54;<22.000;7;5;2;3;1;4;6;5;11;2;1;3
>54;<22.000;12;9;3;4;2;5;6;10;19;2;1;4
>54;<22.000;12;8;5;4;3;6;7;10;21;2;1;3
>54;<22.000;8;5;2;3;1;6;4;9;12;2;1;3
>54;<22.000;7;5;2;3;1;4;6;7;9;2;1;3
>54;<22.000;8;6;2;3;1;5;4;8;13;2;1;3
>54;<22.000;12;8;3;4;2;6;5;10;20;3;1;4
>54;<22.000;12;9;4;3;2;5;8;10;17;3;1;4
>54;<22.000;12;8;4;3;2;6;7;10;18;3;1;5
>54;<22.000;7;6;3;2;1;5;4;6;14;3;1;2
>54;<22.000;12;9;4;5;3;7;6;10;14;2;1;3
>54;<22.000;8;5;2;3;1;6;4;7;14;2;1;3
>54;<22.000;12;9;5;4;3;7;8;10;22;4;1;6
>54;<22.000;8;5;3;2;1;4;6;7;10;2;1;3
>54;22.000-43.999;12;9;6;4;3;8;7;11;24;2;1;5
>54;22.000-43.999;12;8;5;6;3;4;7;11;20;3;1;2
>54;22.000-43.999;12;8;5;4;3;6;7;10;21;3;1;2
>54;22.000-43.999;12;9;5;4;3;7;6;14;20;3;2;4
>54;22.000-43.999;12;9;5;3;2;4;6;10;19;4;1;3
>54;22.000-43.999;12;9;4;3;2;5;8;10;17;3;1;4
>54;22.000-43.999;12;8;4;5;3;6;7;13;18;4;1;2
>54;22.000-43.999;12;7;5;3;2;6;6;11;18;4;1;3
>54;22.000-43.999;12;9;5;4;3;7;8;11;21;2;1;3
>54;22.000-43.999;12;7;4;3;2;6;6;10;18;3;1;2
>54;22.000-43.999;12;8;4;3;2;6;7;10;18;4;1;2
>54;22.000-43.999;12;8;5;3;2;4;6;10;18;3;1;2
>54;22.000-43.999;8;5;3;4;2;6;7;9;12;3;1;2
>54;22.000-43.999;12;8;5;4;3;6;9;11;18;4;2;3
>54;22.000-43.999;12;9;6;4;3;7;8;10;13;2;1;3
>54;22.000-43.999;12;8;6;4;3;7;6;10;14;2;1;3
>54;22.000-43.999;12;9;5;4;3;7;6;11;23;3;1;2
>54;22.000-43.999;12;8;4;3;2;6;7;10;18;3;1;2
>54;22.000-43.999;12;9;5;3;4;7;6;10;14;2;1;3
>54;22.000-43.999;12;8;5;3;2;10;7;12;21;4;2;3
>54;44.000-65.999;12;9;7;5;3;8;10;14;20;6;2;4
>54;44.000-65.999;12;8;6;3;2;4;7;10;18;5;2;1
>54;44.000-65.999;12;7;6;4;3;8;9;10;21;5;2;4
>54;44.000-65.999;12;9;5;4;3;7;10;15;15;4;2;3
>54;44.000-65.999;12;7;5;4;3;9;6;11;23;3;1;2
>54;44.000-65.999;12;9;6;4;3;5;10;15;14;3;2;1
>54;44.000-65.999;12;9;5;4;3;7;10;15;15;4;2;3
>54;44.000-65.999;12;8;5;3;2;4;6;10;18;3;2;1
>54;44.000-65.999;12;9;6;4;3;5;10;15;14;6;2;3
>54;44.000-65.999;12;8;4;3;2;6;7;10;18;5;1;2
>54;44.000-65.999;12;9;5;3;2;4;6;11;18;7;1;2
>54;44.000-65.999;12;8;4;3;2;6;7;10;18;4;1;2
>54;44.000-65.999;12;9;5;4;3;7;10;15;15;4;2;3
>54;44.000-65.999;12;8;5;3;2;10;6;14;20;4;2;3
>54;66.000-87.999;12;5;4;3;2;6;5;10;17;4;2;1
