age;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
18-24;5;4;3;2;2;4;10;6;0;1;0;2
18-24;3;2;2;1;1;2;5;3;3;1;0;2
18-24;3;2;1;2;1;4;6;4;3;1;1;2
18-24;3;2;2;1;1;2;6;3;2;1;0;1
18-24;3;2;1;2;1;2;6;3;2;1;0;1
18-24;3;2;2;2;1;5;7;4;4;1;0;2
18-24;3;2;2;1;1;2;6;3;2;1;1;1
18-24;3;2;2;1;1;2;6;3;2;1;1;1
18-24;3;2;2;2;1;2;6;4;2;1;0;1
18-24;3;2;2;1;1;2;6;3;2;1;0;1
18-24;3;2;2;1;1;2;5;3;3;1;0;1
18-24;3;2;2;1;1;2;5;3;3;1;0;1
18-24;3;2;2;2;1;2;6;3;3;1;1;1
18-24;3;2;1;2;1;2;6;3;2;1;0;1
18-24;3;2;2;1;1;1;6;3;1;1;0;1
18-24;3;2;2;1;1;2;6;3;2;1;0;1
18-24;3;2;2;2;1;3;6;4;3;1;1;2
18-24;3;2;2;2;1;2;6;3;3;1;1;1
25-34;3;2;2;1;1;2;6;3;2;1;1;1
25-34;4;3;2;3;1;2;6;5;4;2;1;1
25-34;5;4;3;2;1;2;7;6;4;2;1;1
25-34;5;4;3;4;2;2;8;7;5;2;1;1
25-34;5;4;3;2;2;4;8;6;2;2;1;3
25-34;3;2;2;1;1;2;5;4;2;1;1;1
25-34;5;4;3;2;2;4;7;6;3;2;1;2
25-34;5;4;3;2;1;2;7;5;3;2;1;1
25-34;5;4;3;2;1;2;7;6;4;2;1;1
25-34;5;4;3;2;1;2;7;6;4;2;1;1
25-34;3;2;2;2;1;2;5;4;3;1;1;1
25-34;5;4;3;4;2;2;8;7;5;2;1;1
25-34;5;4;3;2;2;4;7;6;3;2;1;1
25-34;5;3;2;2;1;2;7;5;3;2;1;1
25-34;5;4;3;2;1;2;8;6;3;2;1;1
25-34;5;4;3;2;1;2;7;5;3;2;1;1
25-34;5;4;3;2;1;2;6;7;4;2;1;1
25-34;3;2;2;2;1;2;5;4;3;1;1;1
25-34;3;2;2;2;1;2;5;4;3;1;1;1
25-34;4;3;2;2;1;3;6;3;3;1;1;2
25-34;3;2;2;1;1;1;6;3;1;2;1;1
25-34;5;4;3;2;2;4;8;6;2;1;1;2
25-34;5;3;2;2;1;2;6;5;4;2;1;1
25-34;5;4;3;2;1;2;7;6;4;2;1;1
25-34;3;2;2;2;1;2;6;4;2;1;1;1
35-44;4;3;2;2;1;3;4;5;3;2;1;1
35-44;5;4;3;2;2;4;6;7;3;2;1;1
35-44;5;4;3;2;2;4;6;7;3;2;1;1
35-44;5;4;3;2;2;4;4;6;6;2;1;1
35-44;5;4;3;2;2;4;6;7;3;2;1;2
35-44;5;3;2;2;1;2;4;6;5;2;1;1
35-44;5;4;3;2;1;2;4;7;4;2;1;1
35-44;5;4;3;2;1;2;4;7;4;2;1;1
35-44;5;3;2;2;1;2;4;6;5;2;1;1
35-44;5;4;3;2;1;2;4;7;4;2;1;1
35-44;5;3;2;2;1;2;4;6;5;2;1;1
35-44;5;4;3;2;2;4;4;8;4;2;1;2
35-44;5;3;2;2;1;2;4;6;5;1;1;2
35-44;5;4;3;2;2;4;6;7;3;2;1;2
35-44;5;4;3;2;2;4;6;7;3;2;1;2
35-44;5;4;3;2;2;4;6;7;3;2;1;2
35-44;5;4;3;2;2;4;3;6;7;2;1;1
35-44;5;4;3;2;2;4;6;7;3;2;1;2
35-44;5;3;2;2;1;4;4;8;1;2;1;1
35-44;5;4;3;2;1;2;4;7;4;2;1;1
35-44;5;4;3;2;1;2;4;7;4;2;1;1
35-44;5;4;3;2;1;2;4;6;3;1;1;2
35-44;5;3;2;2;1;4;3;7;3;2;1;2
35-44;5;3;2;2;1;2;4;6;5;2;1;1
35-44;5;3;2;2;1;4;3;7;7;2;1;2
35-44;5;4;3;2;2;4;4;8;4;2;1;2
35-44;5;3;2;2;1;2;4;6;5;2;1;1
35-44;5;3;2;2;1;2;4;6;5;2;1;1
35-44;5;3;2;2;1;2;4;6;5;2;1;1
35-44;5;4;3;2;1;2;4;7;4;2;1;1
35-44;5;4;3;2;1;2;4;7;4;2;1;1
45-54;5;4;3;2;2;4;4;8;4;2;1;1
45-54;6;4;3;2;1;4;3;7;6;2;1;1
45-54;5;4;3;2;1;2;4;7;4;2;1;1
45-54;5;4;3;2;1;2;4;7;4;2;1;1
45-54;5;4;3;2;1;2;4;6;3;2;1;1
45-54;6;4;3;2;2;3;5;7;8;2;1;1
45-54;5;3;2;2;1;2;4;6;5;2;1;1
45-54;5;4;3;2;1;2;3;7;7;2;1;1
45-54;5;4;3;2;1;2;3;7;5;2;1;1
45-54;5;4;3;2;1;2;3;7;5;2;1;1
45-54;5;4;3;2;1;2;4;7;6;2;1;1
45-54;6;4;3;2;1;4;3;9;4;2;1;1
45-54;5;3;2;2;1;4;3;7;7;2;1;1
45-54;5;4;3;2;1;2;4;7;4;2;1;1
45-54;6;4;3;2;2;3;4;8;8;2;1;1
45-54;6;4;3;2;2;3;5;7;8;2;1;1
45-54;5;4;3;2;1;2;3;7;7;2;1;1
45-54;5;4;3;2;1;2;4;6;3;2;1;1
45-54;5;4;3;2;1;2;4;6;7;2;1;1
45-54;6;4;3;2;1;4;5;7;4;2;1;1
45-54;5;3;2;2;1;4;4;7;6;2;1;1
45-54;6;4;3;2;1;4;5;7;4;2;1;3
45-54;6;4;3;2;1;4;5;7;4;2;1;1
45-54;5;4;3;2;1;2;3;7;5;2;1;1
45-54;5;4;3;2;1;2;4;7;6;2;1;1
45-54;5;4;3;2;2;4;4;7;5;2;1;1
45-54;5;4;3;2;2;4;3;6;7;2;1;2
45-54;5;4;3;2;2;4;3;6;7;2;1;2
45-54;5;4;3;2;2;4;3;6;7;2;1;2
45-54;5;4;3;2;1;2;4;7;4;2;1;1
45-54;5;3;2;2;1;2;3;6;6;2;1;1
45-54;5;4;3;2;1;2;3;7;7;2;1;1
45-54;6;4;3;2;1;4;5;7;4;2;1;1
45-54;5;4;3;2;1;2;4;7;6;2;1;1
45-54;5;3;2;2;1;2;3;7;5;2;1;1
45-54;5;3;2;2;1;4;4;7;6;2;1;1
45-54;5;3;2;2;1;4;3;6;8;2;1;2
45-54;5;4;3;2;1;2;4;7;4;2;1;1
