age;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
18-24;5;4;3;6;2;5;15;6;4;3;1;2
18-24;4;3;2;5;1;6;13;5;3;2;1;4
18-24;5;4;3;6;2;7;18;6;3;2;1;4
18-24;4;3;2;5;1;6;14;4;3;2;0;3
18-24;5;4;2;6;1;7;18;6;3;2;1;4
18-24;4;3;2;5;1;6;12;5;4;2;0;3
18-24;5;4;3;6;2;8;18;6;2;3;1;4
18-24;4;3;2;5;1;6;13;4;2;2;0;3
18-24;4;3;2;5;1;6;14;5;2;2;0;3
18-24;5;4;3;6;2;8;18;6;2;3;1;4
18-24;4;3;2;5;1;8;15;5;3;2;1;4
18-24;4;3;2;5;1;5;15;3;2;2;0;3
18-24;4;3;2;5;1;7;15;4;2;2;0;3
18-24;5;4;3;6;2;5;18;4;3;2;1;4
18-24;4;3;2;5;1;6;13;4;2;2;0;3
18-24;4;3;2;5;1;5;13;4;3;2;0;3
18-24;5;4;2;6;1;7;18;5;2;3;0;4
18-24;4;3;2;5;1;5;14;3;3;2;0;4
25-34;8;6;4;5;2;5;14;8;3;3;1;4
25-34;8;6;4;5;2;5;14;7;4;3;1;2
25-34;6;5;3;4;2;5;12;7;6;3;1;2
25-34;8;6;4;5;2;5;14;6;3;3;1;2
25-34;6;5;3;4;2;5;12;6;2;3;1;2
25-34;6;5;3;4;2;5;12;7;6;3;1;2
25-34;6;4;3;5;2;7;12;8;5;3;1;2
25-34;7;5;3;4;2;6;12;8;7;3;1;2
25-34;6;5;3;4;2;5;10;8;7;3;1;2
25-34;7;5;3;4;2;4;13;5;3;3;1;2
25-34;7;6;4;5;2;6;13;9;8;3;1;4
25-34;6;5;3;4;2;5;12;7;6;3;1;2
25-34;6;5;3;4;2;5;10;8;7;3;1;2
25-34;6;5;3;4;2;5;12;7;6;3;1;2
25-34;6;4;2;3;1;4;10;6;4;2;1;3
25-34;6;4;3;5;2;5;12;6;7;3;1;2
25-34;6;5;3;4;2;5;12;6;3;2;1;3
25-34;6;5;3;4;2;5;10;8;7;3;1;2
25-34;6;5;3;4;2;5;10;8;7;3;1;2
25-34;6;4;3;5;2;4;10;8;6;3;1;2
25-34;6;4;3;5;2;5;12;8;5;3;1;2
25-34;6;5;3;4;2;5;10;8;7;3;1;2
25-34;6;4;3;5;2;5;12;6;2;3;1;2
35-44;6;5;3;4;2;5;7;10;3;2;1;2
35-44;6;4;3;2;1;4;5;8;2;3;1;2
35-44;6;5;3;4;2;5;7;10;3;3;1;2
35-44;7;5;3;4;2;6;5;9;3;3;1;2
35-44;6;5;3;4;2;5;7;9;4;3;1;2
35-44;6;5;3;4;2;5;7;9;4;3;1;2
35-44;6;5;3;4;2;5;7;9;4;3;1;2
35-44;8;6;4;3;2;7;5;9;3;4;1;2
35-44;8;6;4;3;2;7;5;10;5;3;1;2
35-44;6;5;3;4;2;5;7;9;3;2;1;2
35-44;8;6;3;4;2;7;5;9;3;2;1;2
35-44;6;4;3;2;1;4;5;7;3;2;1;2
35-44;8;6;4;3;2;7;9;10;4;3;1;2
35-44;7;5;3;4;2;4;6;9;6;3;1;2
35-44;8;6;4;3;2;7;5;10;5;3;1;2
35-44;8;6;4;3;2;7;5;9;3;4;1;2
35-44;6;4;3;2;1;4;5;7;3;2;1;2
35-44;8;6;3;4;2;7;5;10;5;3;1;2
35-44;6;4;3;2;1;4;5;7;3;2;1;2
35-44;6;5;3;4;2;5;7;9;3;2;1;2
35-44;7;5;3;4;2;6;8;10;4;3;1;2
35-44;7;5;3;4;2;6;5;9;3;2;1;2
35-44;6;4;3;2;1;4;5;7;3;2;1;2
35-44;7;5;4;3;2;6;8;10;9;3;1;2
35-44;8;6;4;3;2;7;5;9;3;4;1;2
35-44;8;6;4;3;2;7;5;10;5;3;1;2
35-44;6;5;3;4;2;5;7;8;5;3;1;2
35-44;8;6;4;3;2;7;5;10;5;3;1;2
35-44;6;5;3;4;2;5;7;9;3;3;1;2
35-44;6;5;3;4;2;5;7;8;3;2;1;2
35-44;6;5;3;4;2;5;7;8;3;3;1;2
44-54;8;6;4;3;2;5;4;11;3;3;1;2
44-54;8;6;4;3;2;5;7;9;4;3;1;2
44-54;8;6;4;3;2;7;5;10;5;3;1;2
44-54;8;6;4;3;2;5;4;10;6;3;1;2
44-54;9;7;4;3;2;5;6;10;4;3;1;2
44-54;7;5;3;2;1;4;6;8;4;3;1;2
44-54;8;6;4;3;2;7;5;10;5;3;1;2
44-54;8;6;4;3;2;5;4;10;4;3;1;2
44-54;8;6;4;3;2;7;5;9;6;3;1;2
44-54;8;6;4;3;2;7;5;9;6;3;1;2
44-54;7;5;3;2;1;4;6;8;4;3;1;2
44-54;8;6;4;3;2;5;4;10;6;3;1;2
44-54;8;6;4;3;2;5;7;10;6;3;1;2
44-54;9;6;4;3;2;5;4;11;6;3;1;2
44-54;7;5;3;2;2;6;4;9;4;3;1;2
44-54;8;6;4;3;2;5;4;10;4;3;1;2
44-54;8;6;4;3;2;5;5;10;8;4;1;3
44-54;8;6;3;4;2;5;7;10;6;3;1;2
44-54;7;5;3;2;1;4;6;8;5;3;1;2
44-54;8;6;4;3;2;7;5;9;6;3;1;2
44-54;9;6;4;3;2;5;7;10;4;3;1;2
44-54;7;5;3;2;1;4;6;8;4;3;1;2
44-54;7;5;3;4;2;6;8;10;9;3;1;2
44-54;8;6;4;3;2;5;7;10;6;3;1;2
44-54;8;6;4;3;2;7;5;9;6;3;1;2
44-54;8;6;4;3;2;7;5;10;5;3;1;2
44-54;8;6;4;3;2;7;5;10;5;3;1;2
44-54;8;6;4;3;2;5;7;9;4;3;1;2
44-54;8;6;4;3;2;7;5;9;6;3;1;2
44-54;8;6;4;3;2;7;5;9;6;3;1;2
44-54;8;6;4;3;2;7;5;9;6;3;1;2
