age;income;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
18-24;<22.000;3;4;2;2;1;3;6;5;4;1;0;2
18-24;<22.000;3;4;2;3;1;5;7;6;5;2;1;3
18-24;<22.000;3;4;2;3;1;2;6;4;5;1;0;2
18-24;<22.000;3;4;2;3;1;2;6;4;5;1;0;2
18-24;<22.000;3;4;2;2;1;3;6;5;4;1;0;2
18-24;<22.000;3;4;2;3;1;4;7;3;3;1;0;2
18-24;<22.000;3;4;2;3;1;2;6;4;5;1;0;2
18-24;22.000-43.999;4;3;2;2;1;3;5;4;1;1;0;2
18-24;22.000-43.999;4;3;2;2;1;3;6;5;4;1;0;2
18-24;22.000-43.999;5;4;3;2;1;2;6;4;3;1;0;2
18-24;66.000-87.999;6;3;4;2;1;2;8;6;4;3;1;1
18-24;66.000-87.999;6;3;2;1;1;2;7;4;4;2;1;1
18-24;66.000-87.999;6;3;4;2;1;4;7;5;4;2;1;1
18-24;Pref. no;4;3;2;2;1;3;6;4;5;1;0;2
18-24;Pref. no;3;2;1;2;1;4;5;2;2;1;0;2
18-24;Pref. no;3;4;2;3;1;2;6;4;3;1;0;1
18-24;Pref. no;3;4;2;2;1;3;6;5;4;1;0;2
18-24;Pref. no;4;3;2;2;1;3;5;3;4;1;0;2
18-24;Pref. no;4;3;2;2;1;3;5;4;3;1;0;2
25-34;88.000-109.999;6;3;4;2;1;4;8;5;3;2;1;1
25-34;88.000-109.999;8;3;4;2;1;2;7;6;7;3;1;1
25-34;110.000-131.999;7;3;4;2;1;3;6;5;2;3;1;1
25-34;<22.000;3;4;2;3;1;5;6;4;3;1;0;2
25-34;<22.000;3;4;1;2;1;4;6;3;2;1;0;2
25-34;<22.000;3;4;2;3;1;2;6;5;4;1;0;3
25-34;<22.000;3;4;1;2;1;4;6;5;4;1;0;2
25-34;<22.000;3;4;2;3;1;4;6;4;3;1;0;2
25-34;<22.000;3;4;2;3;1;4;6;4;3;1;0;2
25-34;<22.000;3;4;2;2;1;3;6;5;4;1;0;2
25-34;<22.000;3;4;2;2;1;3;6;5;4;1;0;2
25-34;<22.000;3;4;2;3;1;4;6;5;2;1;0;3
25-34;22.000-43.999;4;3;2;2;1;3;5;4;2;1;0;2
25-34;22.000-43.999;5;4;3;2;1;2;6;4;3;2;1;2
25-34;22.000-43.999;6;5;3;4;2;5;8;5;2;2;1;3
25-34;22.000-43.999;4;3;2;2;1;3;6;5;4;2;1;2
25-34;22.000-43.999;4;3;2;2;1;3;6;5;4;2;0;1
25-34;22.000-43.999;4;3;2;2;1;3;6;5;4;2;1;2
25-34;22.000-43.999;4;3;2;2;1;3;5;4;6;1;0;2
25-34;22.000-43.999;4;3;2;2;1;3;5;4;2;1;0;2
25-34;44.000-65.999;6;4;3;2;1;4;7;6;3;2;1;1
25-34;44.000-65.999;6;4;3;2;1;4;7;6;3;2;1;1
25-34;44.000-65.999;5;3;2;2;1;4;6;5;2;1;1;1
25-34;66.000-87.999;6;3;2;1;1;2;5;4;6;2;1;0
25-34;Pref. no;6;4;3;2;1;4;7;6;3;2;1;2
25-34;Pref. no;5;4;3;2;1;5;6;4;5;2;1;3
35-44;88.000-109.999;8;4;3;2;1;2;6;7;7;3;1;0
35-44;88.000-109.999;6;3;2;1;1;2;5;7;3;2;1;0
35-44;88.000-109.999;6;3;4;2;1;4;8;6;6;3;1;1
35-44;110.000-131.999;6;2;3;1;1;2;4;5;2;2;1;0
35-44;110.000-131.999;7;3;4;2;1;3;6;7;7;3;1;1
35-44;<22.000;3;5;1;4;2;5;7;5;3;1;0;4
35-44;<22.000;3;4;2;3;1;4;6;4;3;1;0;2
35-44;<22.000;3;4;2;3;1;4;5;4;4;1;0;2
35-44;<22.000;3;4;2;3;1;5;6;4;2;1;0;3
35-44;<22.000;3;4;2;3;1;4;6;5;6;2;0;3
35-44;<22.000;3;4;1;2;1;4;6;3;2;1;0;3
35-44;<22.000;3;4;2;3;1;5;6;4;3;1;0;2
35-44;<22.000;3;4;2;3;1;5;6;4;2;1;0;3
35-44;<22.000;3;4;2;3;1;4;6;4;3;1;0;2
35-44;<22.000;3;4;2;3;1;4;6;4;3;1;0;2
35-44;<22.000;3;4;2;3;1;4;5;4;4;1;0;2
35-44;22.000-43.999;4;3;2;2;1;3;5;4;6;1;0;2
35-44;22.000-43.999;5;4;3;2;1;2;6;5;2;1;1;2
35-44;22.000-43.999;5;4;3;2;1;3;6;4;3;2;1;2
35-44;22.000-43.999;4;3;2;2;1;3;5;6;4;2;1;2
35-44;22.000-43.999;4;3;2;2;1;3;5;4;6;1;0;2
35-44;22.000-43.999;4;3;2;2;1;3;5;6;4;2;1;2
35-44;22.000-43.999;6;5;3;2;1;3;8;6;6;2;1;2
35-44;22.000-43.999;4;3;2;2;1;3;5;6;4;1;0;2
35-44;44.000-65.999;6;3;4;2;1;4;8;5;3;2;1;1
35-44;44.000-65.999;6;4;3;2;1;4;7;6;3;2;1;1
35-44;66.000-87.999;6;3;4;2;1;2;7;6;5;3;1;1
35-44;66.000-87.999;6;3;2;1;1;2;5;6;4;3;1;0
35-44;66.000-87.999;6;4;3;2;1;4;6;7;3;2;1;1
35-44;66.000-87.999;6;4;3;2;1;4;7;6;3;2;1;1
35-44;66.000-87.999;8;3;4;2;1;2;7;8;5;3;1;0
35-44;66.000-87.999;6;3;2;1;1;2;5;6;4;2;1;1
35-44;Pref. no;6;5;3;2;2;4;8;6;4;2;1;2
45-54;88.000-109.999;6;3;2;1;1;2;3;5;2;1;0;1
45-54;88.000-109.999;6;4;3;2;1;4;3;6;2;2;1;1
45-54;88.000-109.999;6;4;3;2;1;4;5;7;4;2;1;1
45-54;88.000-109.999;6;4;3;2;1;4;5;8;3;2;1;1
45-54;88.000-109.999;6;4;3;2;1;4;3;8;5;2;1;1
45-54;110.000-131.999;6;3;4;2;1;3;4;7;8;2;1;1
45-54;110.000-131.999;8;5;4;2;1;3;4;9;10;2;1;1
45-54;110.000-131.999;6;3;2;1;1;2;3;6;6;2;1;1
45-54;<22.000;3;5;1;2;1;4;3;5;3;1;0;3
45-54;<22.000;3;5;1;2;1;4;4;6;2;1;0;3
45-54;<22.000;3;4;2;1;1;4;3;5;3;1;0;2
45-54;<22.000;3;5;2;1;1;4;4;6;2;1;0;2
45-54;<22.000;3;4;2;1;1;4;2;5;4;1;0;2
45-54;<22.000;4;5;2;3;1;5;4;7;4;2;0;3
45-54;<22.000;3;4;1;2;1;4;2;5;4;1;0;3
45-54;<22.000;3;4;1;2;1;4;3;5;3;1;0;2
45-54;<22.000;3;4;2;1;1;4;4;5;2;1;0;3
45-54;22.000-43.999;4;3;2;2;1;3;3;5;4;1;0;2
45-54;22.000-43.999;6;5;3;2;2;4;5;7;10;2;1;3
45-54;22.000-43.999;6;5;3;2;1;3;4;7;9;2;1;2
45-54;22.000-43.999;6;5;3;2;1;3;4;7;4;2;1;2
45-54;22.000-43.999;6;4;3;2;1;4;3;6;7;2;1;2
45-54;22.000-43.999;6;4;3;2;1;4;5;6;5;2;1;2
45-54;22.000-43.999;6;4;3;2;1;4;5;7;4;2;1;3
45-54;22.000-43.999;6;4;3;2;1;4;5;7;4;2;1;2
45-54;22.000-43.999;6;5;3;2;1;3;5;6;4;2;1;2
45-54;22.000-43.999;6;5;3;2;1;3;5;7;8;2;1;2
45-54;44.000-65.999;8;5;4;3;2;3;6;10;9;2;1;1
45-54;44.000-65.999;8;5;4;3;2;3;6;9;10;3;1;2
45-54;44.000-65.999;6;4;3;2;1;4;3;6;7;2;1;1
45-54;44.000-65.999;6;4;3;2;1;4;3;7;6;2;1;1
45-54;66.000-87.999;8;4;3;2;1;2;4;8;8;3;1;1
45-54;66.000-87.999;6;3;2;1;1;2;3;6;6;2;1;0
45-54;66.000-87.999;6;4;3;2;1;4;5;7;4;2;1;1
45-54;66.000-87.999;6;3;2;1;1;2;3;6;6;2;1;1
45-54;Pref. no;5;4;3;2;1;3;4;6;5;2;1;1
45-54;Pref. no;4;3;2;1;1;3;2;5;7;2;1;1
45-54;Pref. no;6;5;3;2;1;3;4;7;9;2;1;2
45-54;Pref. no;6;5;3;2;1;3;4;7;9;2;1;1
>54;88.000-109.999;6;3;2;1;1;2;2;5;6;3;1;0
>54;88.000-109.999;6;4;3;2;1;4;3;7;6;2;1;1
>54;88.000-109.999;8;4;3;2;1;2;4;6;6;3;1;0
>54;88.000-109.999;8;5;4;2;1;3;4;8;11;2;1;1
>54;88.000-109.999;8;5;3;2;1;4;5;6;12;3;1;1
>54;88.000-109.999;12;8;5;3;2;4;6;10;8;3;2;1
>54;88.000-109.999;8;5;3;2;1;4;3;6;4;2;1;1
>54;88.000-109.999;6;4;3;2;1;4;3;7;6;2;1;1
>54;88.000-109.999;6;4;3;2;1;4;3;5;8;2;1;1
>54;110.000-131.999;12;6;5;3;2;4;5;9;18;4;2;1
>54;110.000-131.999;8;4;3;2;1;2;3;6;11;4;1;1
>54;110.000-131.999;8;4;3;2;1;2;4;7;9;3;1;1
>54;<22.000;3;6;2;4;1;5;4;7;10;2;0;3
>54;<22.000;4;7;2;1;1;3;2;5;11;1;0;3
>54;<22.000;6;8;3;2;1;5;4;7;14;2;0;3
>54;<22.000;4;5;2;1;1;3;2;4;10;1;0;2
>54;<22.000;4;6;2;1;1;3;2;4;11;1;0;3
>54;<22.000;3;5;2;1;1;4;2;3;7;1;0;2
>54;<22.000;5;7;3;2;1;4;4;6;8;2;0;3
>54;<22.000;4;6;2;1;1;3;2;4;11;2;0;3
>54;<22.000;3;4;2;1;1;4;2;4;5;1;0;2
>54;<22.000;4;5;2;1;1;3;2;4;6;1;0;2
>54;<22.000;3;4;2;1;1;4;2;5;8;1;0;2
>54;<22.000;4;5;2;1;1;3;3;5;8;1;0;2
>54;<22.000;3;4;2;1;1;4;2;4;5;1;0;2
>54;<22.000;3;4;2;1;1;4;2;5;8;1;0;2
>54;22.000-43.999;6;5;3;2;1;3;4;5;6;2;1;2
>54;22.000-43.999;5;4;2;3;1;2;3;4;10;2;1;1
>54;22.000-43.999;6;4;3;2;1;4;3;5;8;2;1;3
>54;22.000-43.999;5;4;3;2;1;3;4;6;5;2;1;1
>54;22.000-43.999;6;5;3;2;1;3;4;6;10;2;1;2
>54;22.000-43.999;6;5;3;2;1;3;4;7;9;2;1;2
>54;22.000-43.999;6;4;3;2;1;4;3;5;8;2;1;3
>54;22.000-43.999;6;5;3;2;1;3;4;6;10;2;1;1
>54;22.000-43.999;6;4;3;2;1;4;3;5;8;2;1;2
>54;22.000-43.999;8;6;3;2;1;4;5;7;8;2;1;3
>54;22.000-43.999;6;5;3;2;1;3;4;6;10;2;1;1
>54;22.000-43.999;6;5;3;2;2;4;4;6;12;3;1;2
>54;22.000-43.999;6;5;3;2;1;3;4;7;9;2;1;2
>54;22.000-43.999;6;5;3;2;1;3;4;6;10;2;1;2
>54;22.000-43.999;6;4;3;2;1;4;5;6;5;2;1;2
>54;22.000-43.999;6;4;3;2;1;4;3;5;8;2;1;1
>54;22.000-43.999;6;4;3;2;1;4;5;6;5;2;1;1
>54;22.000-43.999;5;4;3;2;1;3;4;6;5;2;1;2
>54;22.000-43.999;6;4;3;2;1;4;3;6;7;2;1;2
>54;44.000-65.999;6;5;3;2;1;3;4;6;4;2;1;1
>54;44.000-65.999;6;4;3;2;1;4;3;7;6;2;1;1
>54;44.000-65.999;6;4;3;2;1;4;3;5;8;2;1;1
>54;44.000-65.999;5;3;2;1;1;3;2;4;9;2;1;1
>54;44.000-65.999;6;4;3;2;1;4;3;7;6;2;1;1
>54;44.000-65.999;6;4;3;2;1;4;3;6;7;2;1;1
>54;44.000-65.999;6;4;3;2;1;4;3;5;8;2;1;1
>54;44.000-65.999;6;4;3;2;1;4;5;6;5;2;1;1
>54;44.000-65.999;6;4;3;2;1;4;3;5;8;2;1;1
>54;44.000-65.999;6;5;3;2;1;3;4;6;10;2;1;1
>54;44.000-65.999;8;6;4;2;3;2;5;7;13;3;1;2
>54;44.000-65.999;6;4;3;2;1;4;3;6;7;2;1;1
>54;44.000-65.999;7;5;3;2;1;4;5;6;11;2;1;1
>54;44.000-65.999;6;4;3;2;1;4;3;5;8;2;1;1
>54;44.000-65.999;6;4;3;2;1;4;3;6;7;2;1;1
>54;44.000-65.999;6;4;3;2;1;4;3;5;8;2;1;1
>54;44.000-65.999;8;6;4;2;1;3;4;7;13;2;1;1
>54;66.000-87.999;6;3;2;1;1;2;3;5;7;2;1;1
>54;66.000-87.999;5;3;2;1;1;3;4;5;5;2;1;1
