age;income;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
18-24;88.000-109.999;12;8;4;6;3;7;18;10;12;5;2;3
18-24;<22.000;3;5;1;7;2;4;12;6;4;1;0;3
18-24;<22.000;3;4;1;5;2;7;15;5;2;1;0;3
18-24;<22.000;3;5;1;6;2;8;16;6;3;2;0;4
18-24;<22.000;3;4;1;5;2;8;12;6;5;1;0;4
18-24;<22.000;3;4;1;5;2;6;12;5;4;1;0;3
18-24;22.000-43.999;5;6;3;4;2;7;12;6;9;3;1;4
18-24;22.000-43.999;7;5;3;4;2;9;14;9;7;3;1;4
18-24;22.000-43.999;6;5;3;4;2;7;12;7;8;3;1;4
18-24;44.000-65.999;12;8;5;7;3;10;18;14;13;6;2;4
18-24;44.000-65.999;12;9;4;6;3;5;21;10;8;4;1;2
18-24;44.000-65.999;12;8;5;6;3;4;20;10;8;2;1;1
18-24;66.000-87.999;12;8;5;4;3;6;20;10;8;3;1;2
18-24;Pref. no;12;8;6;4;3;7;20;10;10;2;1;3
18-24;Pref. no;7;5;4;6;3;10;18;10;7;4;1;3
18-24;Pref. no;6;4;2;3;1;7;12;3;8;2;1;3
18-24;Pref. no;6;4;2;3;1;4;12;6;2;1;0;3
18-24;Pref. no;12;7;4;5;3;9;19;10;11;2;1;3
25-34;88.000-109.999;12;6;4;3;2;5;14;10;8;3;1;2
25-34;88.000-109.999;12;6;4;3;2;8;14;10;11;5;2;1
25-34;88.000-109.999;12;8;4;6;3;7;20;10;10;5;2;1
25-34;110.000-131.999;12;6;5;4;3;8;18;12;8;4;2;1
25-34;110.000-131.999;12;8;4;6;3;7;14;9;7;5;2;1
25-34;110.000-131.999;12;8;4;3;2;6;14;10;11;3;2;1
25-34;<22.000;3;5;1;6;2;8;12;7;6;1;0;4
25-34;<22.000;3;5;1;4;2;5;10;6;4;2;0;3
25-34;<22.000;3;5;1;4;2;7;10;5;7;1;0;3
25-34;<22.000;3;4;1;5;2;6;12;5;4;1;0;3
25-34;<22.000;3;5;1;4;2;7;11;5;6;2;1;3
25-34;<22.000;5;6;2;4;3;7;10;6;4;2;1;3
25-34;<22.000;6;4;2;3;1;8;12;6;6;2;1;3
25-34;<22.000;7;6;2;4;3;5;13;9;5;2;1;4
25-34;<22.000;6;5;2;4;3;10;15;8;7;2;1;3
25-34;22.000-43.999;7;5;2;4;3;9;12;10;8;2;1;3
25-34;22.000-43.999;12;9;4;6;3;5;17;14;8;3;1;2
25-34;22.000-43.999;12;8;5;7;3;10;18;12;5;4;2;3
25-34;22.000-43.999;12;8;5;6;3;10;18;10;6;4;2;5
25-34;44.000-65.999;12;7;3;4;2;6;14;10;10;3;2;1
25-34;44.000-65.999;12;8;5;6;3;11;18;14;13;4;2;3
25-34;66.000-87.999;12;6;4;3;2;8;10;9;6;4;1;2
25-34;66.000-87.999;12;5;3;4;2;7;10;8;5;3;1;2
25-34;66.000-87.999;12;6;4;3;2;8;10;9;6;3;1;2
25-34;66.000-87.999;12;7;3;5;2;6;16;10;9;4;2;1
35-44;88.000-109.999;12;6;5;4;3;7;10;14;6;4;2;1
35-44;88.000-109.999;12;7;3;4;2;5;8;13;12;4;2;1
35-44;88.000-109.999;12;8;4;5;3;6;10;18;10;4;2;1
35-44;88.000-109.999;12;7;4;5;3;9;10;13;7;4;2;3
35-44;88.000-109.999;12;8;5;6;3;4;9;18;11;4;2;1
