age;income;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
18-24;<22.000;12;8;4;6;3;7;18;12;10;2;1;5
18-24;<22.000;4;5;2;3;1;5;12;5;3;2;1;4
18-24;<22.000;4;5;2;3;1;7;11;6;5;2;1;3
18-24;<22.000;3;5;2;4;1;6;12;6;3;2;1;4
18-24;<22.000;4;6;3;2;1;4;12;6;2;1;0;3
18-24;<22.000;3;4;2;5;1;6;12;5;4;2;1;3
18-24;<22.000;4;5;2;3;1;7;10;4;8;1;0;3
18-24;22.000-43.999;12;8;5;6;3;7;18;12;11;4;2;5
18-24;22.000-43.999;12;9;5;6;3;7;20;9;13;4;1;6
18-24;22.000-43.999;6;4;3;2;1;4;10;6;4;2;1;3
18-24;66.000-87.999;12;6;7;4;3;8;18;10;12;5;2;3
18-24;66.000-87.999;12;8;6;4;3;7;15;10;5;2;1;3
18-24;66.000-87.999;12;8;6;4;3;7;18;10;12;5;2;3
18-24;Pref. no;12;9;6;4;3;7;18;11;12;2;1;4
18-24;Pref. no;3;4;2;3;1;4;6;4;3;1;0;2
18-24;Pref. no;3;4;2;3;1;7;11;5;4;2;1;3
18-24;Pref. no;4;5;2;3;1;7;10;4;8;2;1;3
18-24;Pref. no;5;4;3;2;1;10;12;8;5;2;1;3
18-24;Pref. no;3;2;1;2;1;4;5;3;1;1;0;2
25-34;88.000-109.999;12;6;5;4;3;7;18;10;9;6;2;3
25-34;88.000-109.999;12;5;4;3;2;9;15;8;12;4;2;1
25-34;110.000-131.999;12;4;6;3;2;8;14;9;12;5;2;3
25-34;<22.000;4;5;2;3;1;7;10;5;7;1;0;3
25-34;<22.000;6;8;2;4;3;7;10;8;12;1;0;5
25-34;<22.000;3;4;2;5;1;7;10;3;2;1;0;4
25-34;<22.000;4;6;2;3;1;4;10;6;4;1;0;3
25-34;<22.000;3;5;2;4;1;5;10;6;4;2;1;3
25-34;<22.000;5;6;2;3;1;8;10;5;10;2;1;3
25-34;<22.000;4;6;2;3;1;5;10;7;4;2;1;3
25-34;<22.000;7;5;2;3;1;4;12;6;4;2;1;3
25-34;<22.000;4;5;2;3;1;5;9;6;5;2;0;3
25-34;22.000-43.999;6;5;3;4;2;7;10;6;4;3;1;2
25-34;22.000-43.999;12;9;5;6;3;7;18;9;5;4;2;3
25-34;22.000-43.999;8;6;4;5;2;7;12;8;12;3;1;4
25-34;22.000-43.999;12;9;4;5;3;7;18;12;10;4;1;3
25-34;22.000-43.999;12;9;4;6;3;5;17;12;10;4;1;3
25-34;22.000-43.999;12;9;6;4;3;5;18;12;9;4;1;3
25-34;22.000-43.999;12;9;5;4;3;7;18;13;9;4;1;6
25-34;22.000-43.999;12;9;4;3;2;5;16;12;7;3;1;4
