age;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
18-24;12;8;4;6;3;7;20;8;12;3;1;2
18-24;12;8;6;5;3;11;25;10;10;3;1;4
18-24;12;8;5;7;3;10;25;10;10;4;1;3
18-24;6;4;2;3;1;5;10;6;5;2;1;3
18-24;7;5;3;4;2;9;12;10;8;3;1;2
18-24;12;8;4;5;3;6;20;10;8;2;1;3
18-24;8;5;4;3;2;6;15;10;3;2;1;4
18-24;7;6;4;5;3;10;18;9;8;2;1;3
18-24;3;4;2;5;1;6;12;6;3;2;0;1
18-24;5;4;3;2;1;6;12;5;4;1;0;2
18-24;5;7;2;4;1;3;8;5;5;2;1;1
18-24;7;6;4;5;3;8;15;10;8;2;1;3
18-24;8;5;4;3;2;6;14;9;5;3;1;2
18-24;7;5;4;6;2;3;14;6;7;3;1;2
18-24;8;5;3;6;2;4;15;6;7;3;1;2
18-24;12;9;4;6;3;7;21;7;13;4;1;2
18-24;12;8;4;6;3;7;24;9;7;3;1;2
18-24;12;9;4;6;3;5;20;10;9;2;1;3
25-34;12;8;5;7;3;10;15;20;10;4;2;6
25-34;12;8;5;6;4;10;18;9;8;3;1;2
25-34;12;8;5;6;3;10;20;10;4;3;2;1
25-34;12;9;5;6;3;7;19;10;13;4;1;2
25-34;12;9;5;6;3;8;20;10;13;4;2;3
25-34;12;9;4;6;3;5;20;10;9;2;1;3
25-34;7;5;4;6;3;5;15;7;8;3;1;2
25-34;7;5;3;4;2;6;12;9;6;3;1;2
25-34;12;9;5;6;3;8;22;10;11;4;1;2
25-34;12;8;4;5;3;6;18;12;8;3;2;1
25-34;12;8;5;6;4;10;20;10;5;3;1;2
25-34;7;5;3;4;2;6;12;8;7;3;1;2
25-34;12;9;6;4;3;5;18;12;9;4;2;3
25-34;12;8;5;6;3;7;20;10;11;4;2;3
25-34;10;8;5;6;4;7;15;10;5;3;1;2
25-34;12;8;6;5;3;4;18;12;8;2;1;3
25-34;12;8;5;6;3;4;15;10;9;2;1;3
25-34;8;6;3;5;2;4;12;6;10;3;1;2
25-34;7;5;3;4;2;6;12;9;6;3;1;2
25-34;12;9;4;6;3;5;18;12;9;4;1;2
25-34;12;9;5;6;3;7;18;11;13;4;1;2
25-34;12;9;5;7;3;4;10;9;7;2;1;2
25-34;12;8;5;6;3;4;18;12;8;4;2;3
25-34;12;9;6;7;3;5;18;14;10;4;2;3
25-34;12;8;5;7;3;10;18;14;13;4;2;3
35-44;12;9;5;4;3;7;10;13;7;2;1;2
35-44;12;8;5;4;3;6;9;13;6;2;1;2
35-44;12;8;5;7;3;10;14;18;13;4;2;3
35-44;12;7;5;4;3;9;10;14;6;2;1;3
35-44;12;8;4;6;3;7;10;15;5;4;1;2
35-44;12;8;5;4;3;6;10;16;12;4;1;2
35-44;12;8;4;5;3;6;10;15;13;2;1;3
35-44;12;7;4;5;3;9;10;13;7;2;1;3
35-44;12;8;4;5;3;6;10;14;4;3;2;1
35-44;12;8;5;6;3;4;10;16;12;3;2;1
35-44;7;5;4;3;2;4;8;9;4;3;1;2
35-44;12;8;5;6;3;4;10;14;4;2;1;3
35-44;12;8;5;6;4;9;10;20;14;3;1;2
35-44;12;8;4;5;3;6;10;14;4;2;1;3
35-44;12;9;5;6;3;8;10;15;8;4;2;3
35-44;12;9;6;4;3;8;10;18;14;3;2;1
35-44;12;9;6;4;3;8;10;18;14;3;2;1
35-44;12;7;4;5;3;9;10;12;8;3;1;2
35-44;12;8;4;6;3;7;10;16;14;2;1;3
35-44;12;7;5;4;3;9;10;15;5;2;1;3
35-44;7;5;3;4;2;6;8;10;9;3;1;2
35-44;12;8;5;6;3;10;9;15;10;4;2;3
35-44;12;9;6;4;3;5;8;14;17;3;1;2
35-44;12;8;5;7;3;10;9;17;9;4;2;3
35-44;12;9;5;7;3;4;10;15;5;2;1;3
35-44;12;8;6;7;3;4;10;18;12;5;2;3
35-44;12;8;5;4;3;6;10;15;13;2;1;3
35-44;12;8;4;5;3;6;10;13;15;2;1;3
35-44;12;8;5;6;3;10;11;14;9;2;1;3
35-44;12;8;5;6;3;4;10;15;9;3;1;2
35-44;12;9;6;5;3;7;10;17;15;4;2;3
45-54;12;9;6;5;3;10;8;18;19;4;2;3
45-54;12;7;5;6;3;8;10;15;16;4;2;3
45-54;12;8;5;4;3;6;10;15;13;4;2;3
45-54;12;8;5;4;3;6;10;14;14;3;1;2
45-54;12;9;4;5;3;7;6;14;10;2;1;3
45-54;12;8;5;4;3;6;7;15;16;2;1;3
45-54;12;9;5;6;3;7;10;13;9;2;1;3
45-54;12;8;5;4;3;6;7;15;16;4;1;2
45-54;12;9;4;5;3;7;8;10;12;3;1;2
45-54;12;8;5;6;3;4;7;17;14;2;1;3
45-54;12;7;4;5;3;9;6;14;10;2;1;3
45-54;12;9;4;6;3;8;10;14;8;3;1;2
45-54;12;8;5;4;3;6;7;14;17;2;1;3
45-54;12;9;5;4;3;7;8;15;10;4;1;2
45-54;12;8;4;6;3;7;10;15;5;2;1;3
45-54;12;9;6;5;3;10;8;14;23;4;2;3
45-54;12;8;4;3;2;6;7;12;16;3;1;2
45-54;12;8;5;6;3;4;7;18;13;2;1;3
45-54;12;8;5;4;3;6;10;15;13;4;1;2
45-54;12;8;5;6;3;4;10;16;12;3;2;2
45-54;12;9;6;5;3;10;8;14;23;4;2;3
45-54;12;9;6;5;3;7;10;15;17;4;2;3
45-54;12;8;4;3;2;6;7;13;15;4;2;3
45-54;12;9;6;4;3;5;7;15;17;4;2;3
45-54;12;7;4;3;2;5;8;10;15;3;1;2
45-54;12;7;4;3;2;6;5;10;9;3;1;2
45-54;12;8;5;4;3;6;9;14;15;2;1;3
45-54;12;9;4;6;3;5;10;15;14;4;2;3
45-54;12;9;5;6;3;7;10;15;17;4;2;3
45-54;12;8;5;4;3;6;10;15;13;4;2;3
45-54;12;9;6;4;3;5;10;15;14;3;1;2
45-54;18;12;7;9;4;10;11;21;18;3;1;2
45-54;12;9;6;4;3;5;8;15;16;2;1;3
45-54;12;8;5;4;3;10;7;15;20;4;2;3
45-54;12;9;5;4;3;7;6;15;19;4;2;3
45-54;12;9;5;6;3;7;10;17;15;4;2;3
45-54;12;8;6;4;3;7;9;15;16;2;1;3
45-54;12;8;6;5;3;6;10;18;12;4;2;3
45-54;12;8;5;4;3;6;10;16;12;3;1;2
>54;23;12;8;5;4;10;9;17;36;6;2;3
>54;12;7;4;3;2;5;6;8;19;2;1;1
>54;12;9;4;3;2;5;6;10;19;3;1;2
>54;12;8;6;3;4;7;10;9;11;2;1;3
>54;12;8;5;4;3;6;7;14;17;3;1;2
>54;12;8;5;4;3;6;7;10;21;4;2;3
>54;15;10;6;4;3;7;8;12;18;4;2;3
>54;12;9;5;4;3;7;10;13;17;4;2;3
>54;12;8;5;3;4;6;10;15;13;4;2;3
>54;22;10;7;5;3;8;12;18;25;4;2;3
>54;12;9;4;3;2;5;7;11;17;4;1;2
>54;12;8;5;3;2;6;7;10;19;4;1;2
>54;12;8;5;3;2;4;7;10;17;3;1;2
>54;12;9;7;6;3;8;10;15;20;5;2;4
>54;12;8;5;4;3;6;7;15;16;3;2;1
>54;12;9;5;4;3;7;6;10;14;2;1;3
