age;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
18-24;3;2;2;1;1;4;6;5;2;1;0;2
18-24;3;2;1;2;1;3;5;3;1;1;0;2
18-24;3;2;2;1;1;3;5;3;1;1;0;2
18-24;3;4;2;3;1;2;6;3;2;1;0;1
18-24;3;2;2;1;1;2;4;3;2;1;0;1
18-24;3;2;2;1;1;1;5;3;1;1;0;2
18-24;4;3;2;3;1;2;6;4;3;1;0;2
18-24;3;4;2;3;1;2;6;3;2;1;0;1
18-24;3;4;2;3;1;2;5;3;2;1;0;1
18-24;3;4;2;3;1;2;5;3;2;1;0;1
18-24;3;4;2;3;1;2;6;3;1;1;0;1
18-24;3;4;2;3;1;2;6;3;2;1;0;1
18-24;3;2;2;1;1;1;5;3;2;1;0;1
18-24;3;4;2;3;1;2;6;4;5;1;0;2
18-24;3;4;2;3;1;2;6;4;5;1;0;2
18-24;3;4;2;3;1;2;5;3;2;1;0;1
18-24;3;4;2;3;1;2;6;4;3;1;0;2
18-24;3;4;2;3;1;2;6;3;4;1;0;2
25-34;3;4;2;3;1;2;5;3;2;1;0;1
25-34;4;3;2;3;1;2;5;3;2;1;0;1
25-34;3;4;2;3;1;2;5;4;2;1;0;1
25-34;3;4;2;3;1;2;6;4;1;1;0;1
25-34;3;4;2;3;1;2;5;4;2;1;0;1
25-34;4;3;2;3;1;2;6;5;4;2;0;1
25-34;4;3;2;3;1;2;6;5;4;1;0;2
25-34;3;4;2;3;1;2;6;4;1;1;0;1
25-34;4;3;2;3;1;2;6;5;4;2;1;1
25-34;4;3;2;3;1;2;6;5;4;2;1;1
25-34;3;4;2;3;1;2;5;4;2;1;0;1
25-34;4;3;2;3;1;2;5;4;3;1;0;1
25-34;4;3;2;3;1;2;5;4;3;1;0;2
25-34;4;3;2;3;1;2;5;4;2;1;0;1
25-34;4;3;2;3;1;2;6;4;3;2;1;1
25-34;4;3;2;3;1;2;6;4;1;2;0;1
