age;income;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
18-24;110.000-131.999;4;3;2;2;1;3;6;5;4;2;1;1
18-24;<22.000;3;4;2;5;1;3;7;4;7;1;0;2
18-24;<22.000;3;4;2;3;1;7;10;6;4;2;1;3
18-24;<22.000;2;3;1;2;1;6;7;4;4;1;0;3
18-24;<22.000;3;4;2;3;1;5;7;4;7;1;0;3
18-24;<22.000;3;4;2;3;1;2;6;4;5;1;0;2
18-24;<22.000;3;2;1;2;1;4;6;3;0;1;0;2
18-24;<22.000;2;3;1;2;1;4;6;2;1;1;0;2
18-24;22.000-43.999;4;3;2;2;1;3;6;5;4;1;0;2
18-24;22.000-43.999;4;3;2;2;1;3;6;5;4;1;0;2
18-24;22.000-43.999;4;3;2;2;1;3;6;5;4;1;0;2
18-24;44.000-65.999;6;4;3;2;1;4;8;5;3;2;1;2
18-24;44.000-65.999;6;4;3;2;1;4;8;5;3;2;1;2
18-24;44.000-65.999;6;4;3;2;1;4;8;6;2;1;0;1
18-24;Pref. no;3;2;1;2;1;4;6;2;1;1;0;2
18-24;Pref. no;4;3;2;2;1;3;6;5;4;1;0;2
18-24;Pref. no;3;4;2;3;1;4;7;4;2;1;0;3
18-24;Pref. no;3;4;2;3;1;4;6;4;3;1;0;2
25-34;88.000-109.999;8;5;6;4;3;4;10;7;9;2;1;1
25-34;88.000-109.999;6;3;4;2;1;4;7;6;3;2;1;1
25-34;<22.000;3;4;2;3;1;2;6;5;4;1;0;2
25-34;<22.000;3;4;2;3;1;4;6;4;3;1;0;2
25-34;<22.000;3;4;2;3;1;5;7;6;5;2;0;3
25-34;<22.000;3;4;2;3;1;4;7;4;2;1;0;2
25-34;<22.000;3;4;2;3;1;4;6;4;3;2;0;3
25-34;<22.000;3;4;2;3;1;5;8;6;4;1;0;2
25-34;<22.000;3;4;2;3;1;2;5;4;3;1;0;2
25-34;22.000-43.999;4;3;2;3;1;2;6;5;4;2;1;1
25-34;22.000-43.999;6;5;3;4;2;5;9;8;8;2;1;3
25-34;22.000-43.999;5;4;3;2;1;5;7;5;3;2;1;2
25-34;22.000-43.999;4;3;2;2;1;3;5;6;4;2;1;1
25-34;22.000-43.999;4;3;2;3;1;2;6;5;4;2;1;1
25-34;22.000-43.999;4;3;2;2;1;3;6;5;4;2;1;2
25-34;22.000-43.999;6;4;3;2;1;4;8;5;3;2;1;2
25-34;22.000-43.999;4;3;2;2;1;3;5;4;1;1;0;1
25-34;22.000-43.999;4;3;2;2;1;3;5;4;6;1;0;2
25-34;44.000-65.999;5;3;2;2;1;2;4;6;5;2;1;1
25-34;44.000-65.999;5;3;2;2;1;3;6;4;2;2;1;1
25-34;66.000-87.999;7;3;2;2;1;3;6;5;7;3;1;1
25-34;66.000-87.999;6;3;4;2;1;4;7;5;4;2;1;1
25-34;66.000-87.999;6;3;4;2;1;3;7;6;6;2;1;1
35-44;88.000-109.999;6;4;3;2;1;4;5;7;4;2;1;1
35-44;88.000-109.999;6;3;2;1;1;2;4;5;4;2;1;1
35-44;88.000-109.999;6;4;3;2;1;4;5;8;3;2;1;1
35-44;110.000-131.999;6;3;2;2;1;3;4;6;7;2;1;1
35-44;110.000-131.999;6;3;2;2;1;3;4;6;7;2;1;1
35-44;110.000-131.999;6;4;3;2;1;4;5;7;4;2;1;1
35-44;<22.000;3;5;1;4;2;5;6;8;6;2;0;4
35-44;<22.000;3;4;2;3;1;4;5;6;2;1;0;2
35-44;<22.000;3;4;2;3;1;2;4;5;1;1;0;2
35-44;<22.000;3;4;2;3;1;4;5;6;2;1;0;3
35-44;<22.000;3;4;2;3;1;2;4;5;2;1;0;2
35-44;<22.000;3;4;2;3;1;5;6;7;5;2;0;3
35-44;<22.000;3;4;2;2;1;3;4;5;2;1;0;2
35-44;<22.000;3;4;2;3;1;2;4;6;3;1;0;2
35-44;<22.000;3;4;2;2;1;3;4;5;2;1;0;2
35-44;<22.000;3;4;2;3;1;4;5;6;2;1;0;3
35-44;22.000-43.999;4;3;2;2;1;3;4;5;2;1;0;2
35-44;22.000-43.999;4;3;2;2;1;3;4;5;2;1;0;1
35-44;22.000-43.999;4;3;2;2;1;3;3;5;4;1;0;2
35-44;22.000-43.999;4;3;2;2;1;3;4;5;2;1;0;2
35-44;22.000-43.999;4;3;2;2;1;3;4;5;6;1;0;2
35-44;22.000-43.999;4;3;2;2;1;3;4;5;2;1;0;2
35-44;44.000-65.999;6;3;2;2;1;3;4;6;7;3;1;1
35-44;44.000-65.999;6;4;3;2;1;4;5;7;4;2;1;1
35-44;44.000-65.999;6;4;3;2;1;4;5;7;4;2;1;2
35-44;44.000-65.999;5;3;2;2;1;2;4;6;3;2;1;1
35-44;66.000-87.999;6;3;4;2;1;3;4;7;8;3;1;0
35-44;66.000-87.999;6;4;3;2;1;4;3;7;6;2;1;0
35-44;66.000-87.999;6;3;2;2;1;3;5;6;6;2;1;1
35-44;66.000-87.999;6;3;2;1;1;2;4;6;5;2;1;1
35-44;66.000-87.999;6;4;3;2;1;4;5;7;4;2;1;1
44-54;88.000-109.999;6;4;3;2;1;4;3;6;2;2;1;1
44-54;88.000-109.999;6;4;3;2;1;4;3;7;6;2;1;1
44-54;88.000-109.999;6;4;3;2;1;4;3;7;6;2;1;1
