age;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
18-24;3;5;2;4;1;5;8;6;4;3;1;2
18-24;3;4;2;5;1;3;10;4;2;2;1;3
18-24;3;5;2;4;1;2;10;5;3;2;1;3
18-24;3;4;2;5;1;2;10;5;2;3;1;4
18-24;2;5;1;4;1;3;8;4;2;2;1;3
18-24;3;5;2;4;1;5;12;6;2;3;1;4
18-24;2;4;1;3;1;2;8;3;1;2;1;2
18-24;2;4;1;5;1;3;10;4;2;2;1;3
18-24;2;4;1;3;1;2;7;3;2;1;0;2
18-24;2;3;1;4;1;2;7;3;2;2;1;2
18-24;3;5;2;4;1;5;10;5;3;2;1;4
18-24;2;4;1;3;1;2;8;4;2;1;1;3
18-24;2;3;1;4;1;2;6;3;2;2;1;3
18-24;2;4;1;3;1;2;8;4;2;2;1;3
18-24;4;3;2;3;1;5;13;3;2;2;0;4
18-24;5;4;3;2;1;5;12;3;5;2;0;4
18-24;5;4;3;2;1;5;12;5;3;2;1;4
18-24;4;3;2;3;1;5;12;3;3;2;0;4
18-24;6;4;3;2;1;4;13;4;3;2;0;3
25-34;6;5;3;2;1;4;11;6;4;2;1;3
25-34;6;5;3;4;2;5;12;7;3;3;1;4
25-34;8;6;4;3;2;7;12;9;6;3;1;4
25-34;7;6;4;3;2;5;10;6;3;2;1;3
25-34;6;5;3;4;2;5;10;8;7;3;1;4
25-34;7;6;4;3;2;8;10;6;4;3;1;4
25-34;6;5;3;4;2;5;12;8;5;3;1;4
25-34;6;5;3;4;2;5;10;7;3;2;1;3
25-34;6;5;3;4;2;5;10;7;3;2;1;3
25-34;8;6;4;3;2;7;12;8;3;4;1;5
25-34;6;5;3;4;2;5;12;8;5;3;1;4
25-34;6;5;3;4;2;5;10;6;4;3;1;2
25-34;8;6;4;3;2;7;12;8;3;4;1;3
25-34;6;5;3;4;2;5;10;8;7;3;1;4
25-34;8;6;4;3;2;7;12;9;6;3;1;4
25-34;6;5;3;2;1;4;9;5;3;2;1;3
25-34;7;6;4;3;2;5;12;6;4;3;1;4
25-34;6;5;3;4;2;5;10;8;7;3;1;4
25-34;6;5;3;4;2;5;10;8;7;3;1;4
25-34;8;6;4;3;2;7;10;7;3;4;1;2
25-34;6;5;3;4;2;5;10;7;3;2;1;3
25-34;5;4;3;2;1;5;8;6;6;3;1;4
25-34;6;5;3;2;1;4;10;6;5;3;1;2
25-34;7;6;4;3;2;5;10;9;8;3;1;4
25-34;6;5;3;4;2;5;10;8;7;3;1;4
25-34;7;5;4;3;2;4;10;8;7;3;1;2
35-44;6;5;3;2;1;3;4;8;2;2;1;2
35-44;8;6;4;3;2;7;5;10;5;3;1;2
35-44;7;6;4;3;2;5;6;12;4;3;1;2
35-44;8;6;4;3;2;7;5;10;5;3;1;2
35-44;7;6;4;3;2;5;6;9;4;3;1;2
35-44;6;5;3;2;1;4;5;8;4;2;1;3
35-44;7;6;4;3;2;5;6;11;4;3;1;2
35-44;7;6;4;3;2;5;6;8;3;3;1;2
35-44;8;6;4;3;2;5;7;11;4;3;1;2
35-44;8;6;4;3;2;7;5;9;3;4;1;2
35-44;7;5;3;2;1;4;6;8;3;2;1;2
35-44;6;5;3;2;1;5;7;9;6;3;1;2
35-44;6;5;3;2;1;3;4;7;2;2;1;2
35-44;6;5;3;2;1;3;4;7;2;2;1;2
35-44;6;5;3;2;1;4;5;8;3;2;1;2
35-44;8;6;4;3;2;7;5;10;5;3;1;2
35-44;6;5;3;2;1;4;5;8;4;2;1;3
35-44;8;6;4;3;2;5;7;10;6;3;1;2
35-44;6;5;3;2;1;4;5;8;3;2;1;2
35-44;6;5;3;2;1;4;5;8;3;2;1;2
35-44;6;5;3;2;1;3;4;7;4;2;1;2
35-44;6;5;3;2;1;4;5;8;3;2;1;2
35-44;6;5;3;2;1;4;5;8;3;2;1;2
35-44;7;5;4;3;2;4;6;9;6;3;1;2
35-44;8;6;4;3;2;7;5;10;5;3;1;2
35-44;6;5;3;2;1;3;4;8;2;2;1;2
35-44;6;5;3;2;1;4;5;8;3;2;1;2
35-44;7;6;4;3;2;5;6;11;4;3;1;2
35-44;6;5;3;2;1;3;4;8;2;2;1;2
35-44;6;5;3;2;1;4;5;8;3;2;1;2
35-44;8;6;4;3;2;7;5;9;3;2;1;3
35-44;8;6;4;3;2;7;5;9;6;3;1;2
35-44;6;5;3;2;1;3;4;7;2;2;1;2
45-54;8;6;4;3;2;7;5;9;6;3;1;2
45-54;12;9;5;4;3;7;6;13;6;4;1;3
45-54;7;5;4;3;2;4;6;9;5;3;1;2
45-54;7;6;4;3;2;5;4;10;3;3;1;2
45-54;9;7;4;3;2;5;6;10;4;3;1;2
45-54;7;5;3;2;1;4;4;10;8;3;1;2
45-54;8;6;4;3;2;7;5;9;6;3;1;2
45-54;8;6;4;3;2;7;5;9;6;3;1;4
45-54;9;7;5;3;2;4;6;10;4;3;1;2
45-54;8;6;4;3;2;5;4;10;4;3;1;2
45-54;8;6;4;3;2;5;4;10;4;3;1;2
45-54;8;6;4;3;2;7;5;9;6;3;1;2
45-54;8;6;4;3;2;7;5;9;6;3;1;2
45-54;10;8;5;3;2;7;6;11;8;4;1;3
