age;income;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
18-24;<22.000;4;3;2;3;1;5;10;5;3;2;1;3
18-24;<22.000;4;5;3;6;2;5;12;4;2;3;1;4
18-24;<22.000;3;4;2;5;1;5;13;5;2;3;1;4
18-24;<22.000;3;4;2;3;1;5;10;4;2;2;1;3
18-24;<22.000;3;4;2;3;1;5;10;5;3;2;1;4
18-24;<22.000;5;6;3;4;2;5;15;7;3;2;1;4
18-24;<22.000;5;4;3;6;2;5;15;5;2;3;1;4
18-24;22.000-43.999;6;5;4;3;2;5;14;5;6;3;1;2
18-24;22.000-43.999;6;4;3;2;1;4;12;5;3;2;1;2
18-24;22.000-43.999;6;4;3;2;1;4;13;4;3;2;1;3
18-24;66.000-87.999;7;3;4;2;1;3;10;5;2;2;1;1
18-24;66.000-87.999;9;3;5;2;1;4;13;7;4;3;1;1
18-24;66.000-87.999;8;3;4;2;1;2;12;4;2;3;1;1
18-24;Pref. no;6;5;3;4;2;5;13;4;3;2;1;3
18-24;Pref. no;5;4;2;3;1;5;11;4;5;2;1;3
18-24;Pref. no;4;3;2;3;1;4;10;3;2;1;0;2
18-24;Pref. no;4;3;2;3;1;5;10;4;2;2;1;3
18-24;Pref. no;5;4;3;4;2;6;13;6;5;2;1;4
18-24;Pref. no;5;4;2;3;1;5;10;4;2;2;1;3
25-34;88.000-109.999;7;4;5;3;2;4;10;6;3;4;2;1
25-34;88.000-109.999;9;4;3;2;1;3;10;6;6;4;2;1
25-34;110.000-131.999;10;4;3;2;1;5;9;8;8;4;2;1
25-34;<22.000;4;7;3;5;2;9;12;8;3;2;1;6
25-34;<22.000;3;5;2;4;1;6;10;7;4;2;1;3
25-34;<22.000;3;6;2;4;1;4;9;5;2;2;1;3
25-34;<22.000;4;6;2;5;1;7;10;6;3;2;1;4
25-34;<22.000;3;5;2;4;1;5;8;6;2;2;1;3
25-34;<22.000;4;6;2;3;1;4;9;6;1;2;1;3
25-34;<22.000;3;5;2;4;1;5;9;6;5;2;1;3
25-34;<22.000;4;6;2;5;1;7;10;6;2;3;1;4
25-34;<22.000;4;6;3;5;2;7;10;6;4;2;1;3
25-34;22.000-43.999;6;5;3;4;2;5;9;7;4;3;1;2
25-34;22.000-43.999;7;6;3;4;2;5;10;8;4;3;1;2
25-34;22.000-43.999;6;5;3;4;2;5;10;8;7;3;1;2
25-34;22.000-43.999;6;5;3;4;2;5;10;7;3;2;1;3
25-34;22.000-43.999;6;5;3;4;2;5;10;8;7;3;1;2
25-34;22.000-43.999;6;5;3;4;2;5;10;8;7;3;1;2
25-34;22.000-43.999;6;5;3;4;2;5;10;7;3;2;1;2
25-34;22.000-43.999;6;5;3;4;2;5;9;7;4;3;1;2
25-34;44.000-65.999;7;4;3;2;1;3;8;5;2;2;1;1
25-34;44.000-65.999;8;5;4;3;2;3;9;8;4;3;2;1
25-34;44.000-65.999;9;5;4;3;2;2;10;8;7;3;2;1
25-34;66.000-87.999;9;3;4;2;1;3;7;8;7;4;2;1
25-34;Pref. no;7;5;3;4;2;6;10;9;8;4;2;3
25-34;Pref. no;6;5;3;2;1;5;9;6;2;3;1;2
35-44;88.000-109.999;10;4;3;2;1;3;5;9;4;3;2;1
35-44;88.000-109.999;9;4;3;2;1;3;4;8;3;2;1;1
35-44;88.000-109.999;9;4;3;2;1;3;4;8;3;2;1;1
35-44;110.000-131.999;10;4;3;2;1;3;5;8;2;3;2;1
35-44;110.000-131.999;14;6;4;3;2;5;7;16;6;4;2;1
35-44;<22.000;3;6;2;4;1;5;4;8;3;2;1;4
35-44;<22.000;4;7;2;3;1;5;6;8;3;2;1;4
35-44;<22.000;3;6;2;3;1;5;4;8;3;2;1;4
35-44;<22.000;3;5;2;4;1;5;6;10;4;2;1;3
35-44;<22.000;3;6;2;4;1;7;5;8;3;2;1;4
35-44;<22.000;3;6;2;4;1;5;4;8;2;2;1;3
