age;income;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
18-24;88.000-109.999;5;3;2;2;1;4;9;5;3;2;1;1
18-24;<22.000;3;4;2;5;1;2;9;5;3;1;0;2
18-24;<22.000;3;4;2;3;1;2;6;5;4;1;0;2
18-24;<22.000;3;4;2;3;2;5;9;6;4;1;1;2
18-24;<22.000;3;4;2;3;1;2;7;5;3;1;1;2
18-24;<22.000;3;4;2;3;2;1;7;4;4;1;1;2
18-24;22.000-43.999;3;2;1;2;1;2;6;3;2;1;1;1
18-24;22.000-43.999;5;3;2;2;1;4;8;6;3;2;1;2
18-24;22.000-43.999;5;4;3;2;1;2;7;6;4;2;1;1
18-24;44.000-65.999;5;3;2;2;1;4;8;6;3;2;1;1
18-24;44.000-65.999;5;3;2;2;1;4;9;5;3;2;1;1
18-24;44.000-65.999;5;3;2;2;1;4;8;5;4;2;1;1
18-24;66.000-87.999;5;3;2;2;1;4;7;6;4;2;1;1
18-24;Pref. no;3;2;1;2;1;4;7;4;2;1;1;2
18-24;Pref. no;5;4;3;2;2;4;8;6;2;1;1;2
18-24;Pref. no;3;2;2;1;1;4;6;4;3;1;1;2
18-24;Pref. no;3;2;1;2;1;4;6;3;0;1;0;1
18-24;Pref. no;3;2;2;1;1;4;7;3;3;1;1;2
25-34;88.000-109.999;5;3;2;2;1;4;7;6;4;2;1;1
25-34;88.000-109.999;6;3;2;2;1;4;7;5;6;2;1;1
25-34;88.000-109.999;6;3;2;2;1;4;7;5;6;2;1;1
25-34;110.000-131.999;7;3;4;2;1;2;8;6;5;3;1;1
25-34;110.000-131.999;7;4;3;2;1;5;8;9;5;2;1;1
25-34;110.000-131.999;6;3;2;2;1;4;7;6;5;2;1;1
25-34;<22.000;3;4;1;5;2;6;10;6;5;2;0;3
25-34;<22.000;3;2;1;2;1;4;6;4;3;1;0;2
25-34;<22.000;3;4;2;3;2;5;7;6;6;1;0;2
25-34;<22.000;3;4;2;3;2;4;7;5;2;1;0;2
25-34;<22.000;3;2;1;2;1;4;6;2;1;1;0;2
25-34;<22.000;3;4;2;3;1;2;7;5;3;1;0;2
25-34;<22.000;3;4;2;3;1;2;7;5;3;1;0;2
25-34;<22.000;3;4;2;3;1;2;7;5;3;1;0;2
25-34;<22.000;3;2;1;2;1;4;7;4;2;1;0;2
25-34;22.000-43.999;4;3;2;2;1;3;6;5;4;2;1;2
25-34;22.000-43.999;4;3;2;3;1;2;6;5;4;2;1;1
25-34;22.000-43.999;5;4;3;2;1;2;6;7;4;2;1;1
25-34;22.000-43.999;4;3;2;3;1;2;6;5;4;2;1;2
25-34;44.000-65.999;5;4;3;2;2;4;7;6;3;2;1;1
25-34;44.000-65.999;5;4;3;2;1;2;6;7;4;2;1;1
25-34;66.000-87.999;5;3;2;2;1;4;6;5;6;2;1;1
25-34;66.000-87.999;6;3;2;2;1;3;7;6;4;2;1;1
25-34;66.000-87.999;7;4;3;2;1;5;9;8;5;2;1;1
25-34;66.000-87.999;5;3;2;2;1;4;6;7;4;2;1;1
35-44;88.000-109.999;6;3;2;2;1;4;5;7;6;2;1;1
35-44;88.000-109.999;6;4;3;2;1;2;5;9;4;3;1;1
35-44;88.000-109.999;6;3;2;2;1;4;5;7;6;2;1;1
35-44;88.000-109.999;6;4;3;2;1;2;5;8;5;2;1;1
35-44;88.000-109.999;6;3;2;2;1;4;5;8;5;2;1;1
35-44;88.000-109.999;6;4;3;2;1;2;5;7;6;2;1;1
35-44;<22.000;3;4;2;3;2;5;6;8;5;2;1;3
35-44;<22.000;3;4;2;3;2;5;5;8;6;1;0;2
35-44;<22.000;3;4;2;3;1;5;5;8;5;1;0;2
35-44;<22.000;3;2;1;2;1;4;4;6;3;1;0;2
35-44;<22.000;3;2;1;2;1;4;4;6;3;1;0;2
35-44;<22.000;3;2;2;1;1;2;4;5;2;1;0;2
35-44;22.000-43.999;5;4;3;2;2;4;6;8;6;2;1;1
35-44;22.000-43.999;4;3;2;2;1;3;4;6;5;2;1;1
35-44;22.000-43.999;5;4;3;2;1;6;7;9;5;2;1;3
35-44;22.000-43.999;5;7;2;4;3;6;8;9;8;3;2;1
35-44;22.000-43.999;5;7;2;6;3;4;8;9;10;2;1;1
35-44;22.000-43.999;12;15;5;8;3;7;10;18;12;6;4;2
35-44;22.000-43.999;5;7;2;4;3;6;8;9;8;3;2;1
35-44;44.000-65.999;12;8;5;10;3;7;15;18;12;6;4;2
35-44;44.000-65.999;12;8;3;7;2;5;10;15;12;4;2;1
35-44;44.000-65.999;12;10;4;6;3;5;8;15;17;7;2;3
35-44;66.000-87.999;10;8;3;6;2;5;7;12;15;4;2;1
35-44;66.000-87.999;12;8;4;6;2;3;7;15;13;5;2;1
35-44;66.000-87.999;5;4;2;3;1;5;4;5;6;2;1;1
35-44;66.000-87.999;12;8;3;5;2;4;6;15;13;5;2;1
35-44;66.000-87.999;12;8;4;6;2;3;7;12;16;5;3;2
35-44;66.000-87.999;5;4;2;3;1;5;4;5;6;3;2;1
35-44;Pref. no;5;4;2;3;1;6;4;8;9;2;1;1
35-44;Pref. no;5;4;2;3;1;5;4;6;10;3;2;1
35-44;Pref. no;5;4;2;3;1;5;4;5;6;2;1;1
45-54;88.000-109.999;12;8;3;5;2;4;7;15;12;6;3;2
45-54;88.000-109.999;25;15;5;10;3;7;12;20;13;8;4;2
45-54;88.000-109.999;12;8;4;6;2;3;7;15;13;5;2;1
45-54;88.000-109.999;12;8;4;6;2;3;7;15;13;5;2;1
45-54;88.000-109.999;12;8;4;5;3;6;7;15;11;5;2;1
45-54;88.000-109.999;12;8;4;6;2;3;7;15;13;5;2;1
