age;income;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
18-24;110.000-131.999;6;3;4;2;1;4;10;6;4;3;1;2
18-24;<22.000;3;5;2;6;1;8;15;6;4;2;1;5
18-24;<22.000;3;4;2;5;1;7;12;4;2;2;0;3
18-24;<22.000;3;5;2;6;1;8;15;5;2;2;1;4
18-24;<22.000;3;4;2;5;2;4;12;6;2;3;1;5
18-24;<22.000;3;4;2;5;1;6;13;4;4;2;1;3
18-24;<22.000;4;5;2;6;1;7;15;5;2;2;1;4
18-24;<22.000;3;4;2;5;1;5;13;5;2;2;1;4
18-24;22.000-43.999;6;5;3;4;2;5;15;6;3;2;1;2
18-24;22.000-43.999;6;5;3;4;2;5;15;6;4;3;1;2
18-24;22.000-43.999;6;5;3;4;2;5;15;5;0;3;1;2
18-24;44.000-65.999;6;4;3;2;1;4;10;3;2;2;1;1
18-24;44.000-65.999;6;4;3;2;1;4;11;5;4;3;1;2
18-24;44.000-65.999;6;4;3;2;1;4;13;5;2;3;1;2
18-24;Pref. no;6;4;2;3;1;4;12;5;3;2;1;2
18-24;Pref. no;4;3;2;3;1;4;9;2;2;1;0;2
18-24;Pref. no;4;3;2;5;1;6;12;6;3;2;1;3
18-24;Pref. no;4;3;2;5;1;6;13;5;3;2;1;4
25-34;88.000-109.999;10;5;6;3;2;4;12;9;3;4;2;1
25-34;88.000-109.999;12;6;5;4;2;3;14;9;4;5;2;1
25-34;<22.000;4;6;2;5;1;7;12;6;2;3;1;4
25-34;<22.000;3;5;2;4;1;5;10;6;4;2;1;3
25-34;<22.000;3;5;2;6;1;4;10;6;1;2;1;3
25-34;<22.000;3;4;2;5;1;5;10;7;3;2;1;3
25-34;<22.000;3;5;2;6;2;7;10;6;2;3;1;4
25-34;<22.000;3;4;2;5;1;5;10;6;4;2;1;3
25-34;<22.000;3;4;2;5;1;5;10;7;3;2;1;4
25-34;22.000-43.999;6;5;3;4;2;5;9;7;4;3;1;2
25-34;22.000-43.999;6;5;3;4;2;5;10;8;7;3;1;2
25-34;22.000-43.999;7;6;4;5;2;6;12;8;4;3;1;2
25-34;22.000-43.999;6;5;3;4;2;5;10;8;2;3;1;2
25-34;22.000-43.999;7;5;3;4;2;4;10;8;3;2;1;3
25-34;22.000-43.999;6;5;3;4;2;5;10;8;2;3;1;2
25-34;22.000-43.999;6;5;3;4;2;5;10;8;7;3;1;2
25-34;22.000-43.999;7;5;3;4;2;4;10;8;3;2;1;3
25-34;22.000-43.999;6;5;3;4;2;5;10;8;7;3;1;2
25-34;44.000-65.999;7;4;3;2;1;3;8;6;2;2;1;1
25-34;44.000-65.999;7;5;3;2;1;4;9;6;2;3;1;1
25-34;66.000-87.999;10;4;3;2;1;5;8;10;7;4;2;1
25-34;66.000-87.999;8;4;3;2;1;2;7;6;1;3;1;0
25-34;66.000-87.999;9;4;5;3;1;2;10;7;2;3;1;1
35-44;88.000-109.999;10;5;4;2;1;3;6;10;4;3;2;1
35-44;88.000-109.999;9;5;4;3;2;4;6;10;3;4;2;1
35-44;88.000-109.999;10;4;3;2;1;5;4;12;4;3;2;1
35-44;110.000-131.999;14;5;6;3;2;4;5;15;4;6;2;1
35-44;110.000-131.999;10;5;4;3;2;6;4;12;4;5;2;1
35-44;110.000-131.999;9;4;3;2;1;3;4;8;3;2;1;1
35-44;<22.000;3;6;2;5;1;4;5;8;3;2;0;4
35-44;<22.000;3;7;2;5;1;6;4;10;3;2;0;5
35-44;<22.000;3;5;2;4;1;5;6;8;3;2;1;4
35-44;<22.000;3;5;2;4;1;5;6;9;4;2;1;3
