age;income;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
18-24;88.000-109.999;8;3;4;2;1;2;10;6;4;3;1;1
18-24;<22.000;5;8;2;10;3;7;20;8;2;3;1;6
18-24;<22.000;3;5;1;6;2;8;15;5;1;2;0;4
18-24;<22.000;3;5;2;6;1;8;15;6;4;2;1;5
18-24;<22.000;4;6;2;8;3;7;18;5;2;2;1;4
18-24;<22.000;3;4;2;5;1;5;12;5;3;2;1;4
18-24;22.000-43.999;6;4;2;5;1;3;12;6;2;2;1;3
18-24;22.000-43.999;6;4;3;5;2;5;15;6;3;2;1;3
18-24;22.000-43.999;8;6;3;5;2;6;17;7;2;3;1;4
18-24;44.000-65.999;7;4;3;2;1;3;12;3;2;2;1;1
18-24;44.000-65.999;9;3;2;4;1;3;13;4;1;2;1;1
18-24;44.000-65.999;7;3;2;2;1;3;10;4;2;2;1;1
18-24;66.000-87.999;9;4;3;2;1;3;13;3;2;2;1;1
18-24;Pref. no;6;4;2;3;1;4;11;5;4;2;1;2
18-24;Pref. no;6;4;2;3;1;4;12;5;3;2;1;2
18-24;Pref. no;5;4;2;3;1;6;12;5;4;2;1;3
18-24;Pref. no;5;4;2;3;1;6;12;5;4;2;1;3
18-24;Pref. no;5;4;2;3;1;5;12;5;3;2;1;3
25-34;88.000-109.999;9;4;3;2;1;3;10;5;2;2;1;1
25-34;88.000-109.999;9;4;3;2;1;3;8;6;1;2;1;0
25-34;88.000-109.999;12;5;4;3;2;4;13;9;8;5;2;1
25-34;110.000-131.999;12;4;5;3;2;4;11;8;3;3;1;1
25-34;110.000-131.999;14;4;6;3;2;5;12;10;2;4;1;1
25-34;110.000-131.999;14;5;6;3;2;4;12;10;2;4;1;1
25-34;<22.000;4;6;2;8;3;5;12;4;2;2;0;3
25-34;<22.000;3;5;1;4;2;7;9;4;2;2;1;5
25-34;<22.000;4;6;2;5;1;7;10;6;3;2;1;4
25-34;<22.000;3;5;2;6;1;8;12;4;1;2;0;3
25-34;<22.000;3;6;2;5;1;8;12;6;2;2;1;4
25-34;<22.000;3;4;2;5;1;6;10;7;4;2;1;3
25-34;<22.000;3;5;2;6;1;8;10;6;3;2;1;4
25-34;<22.000;4;5;2;6;1;7;10;5;3;2;1;3
25-34;<22.000;4;5;2;6;1;7;10;6;3;2;1;4
25-34;22.000-43.999;6;5;3;4;2;5;10;8;2;3;1;2
25-34;22.000-43.999;6;4;2;3;1;4;10;6;2;3;1;2
25-34;22.000-43.999;6;5;3;4;2;5;10;8;7;3;1;2
25-34;22.000-43.999;7;5;3;4;2;4;10;8;3;3;1;2
25-34;44.000-65.999;7;4;3;2;1;3;8;6;3;2;1;1
25-34;44.000-65.999;10;5;4;3;2;6;12;10;8;4;2;3
25-34;66.000-87.999;9;3;2;1;1;4;7;6;2;3;1;1
25-34;66.000-87.999;12;5;4;3;2;4;10;14;6;5;2;1
25-34;66.000-87.999;9;3;2;1;1;4;7;6;3;2;1;1
25-34;66.000-87.999;9;3;2;2;1;3;8;5;2;2;1;1
35-44;88.000-109.999;12;4;6;2;1;5;7;13;10;4;2;1
35-44;88.000-109.999;14;6;4;3;2;5;4;16;4;3;2;1
35-44;88.000-109.999;14;5;6;3;2;4;7;16;7;5;2;1
35-44;88.000-109.999;10;4;3;2;1;5;4;12;4;3;2;1
35-44;88.000-109.999;14;5;6;3;2;4;5;16;3;4;2;1
35-44;88.000-109.999;18;6;7;4;2;3;8;20;12;5;3;2
35-44;<22.000;4;8;2;6;3;7;5;9;3;2;1;4
35-44;<22.000;3;5;1;4;2;5;6;8;6;2;1;4
35-44;<22.000;3;5;1;4;2;6;7;8;6;2;1;4
35-44;<22.000;3;5;2;4;1;6;5;7;3;2;1;4
35-44;<22.000;4;6;2;3;1;4;5;7;4;2;1;3
35-44;<22.000;4;6;2;5;1;7;5;8;2;3;1;4
35-44;22.000-43.999;6;5;3;4;2;5;4;9;2;3;1;2
35-44;22.000-43.999;6;5;3;4;2;5;4;9;3;2;1;2
35-44;22.000-43.999;8;6;3;4;2;5;7;10;3;2;1;2
35-44;22.000-43.999;8;6;3;4;2;5;7;10;3;2;1;2
35-44;22.000-43.999;6;4;2;3;1;4;5;7;4;3;1;2
35-44;22.000-43.999;7;5;3;4;2;4;6;9;4;3;1;2
35-44;22.000-43.999;8;6;3;4;2;7;5;9;4;3;1;2
35-44;44.000-65.999;9;5;4;3;2;4;6;10;7;3;1;2
35-44;44.000-65.999;9;4;3;2;1;3;4;8;3;2;1;1
35-44;44.000-65.999;9;5;3;2;1;4;6;9;4;3;1;2
35-44;66.000-87.999;12;4;5;3;2;4;6;13;7;5;2;1
35-44;66.000-87.999;14;6;5;3;2;5;4;17;4;6;3;2
35-44;66.000-87.999;9;3;4;2;1;3;4;9;4;3;1;1
35-44;66.000-87.999;12;4;6;3;2;5;6;17;9;4;2;1
35-44;66.000-87.999;12;4;5;3;2;4;6;12;4;3;2;1
35-44;66.000-87.999;14;5;6;3;2;4;7;15;6;4;2;1
35-44;Pref. no;7;5;3;4;2;4;6;9;6;3;1;2
35-44;Pref. no;7;5;3;4;2;4;6;10;5;3;2;2
35-44;Pref. no;8;6;4;5;2;5;7;11;2;3;1;2
45-54;88.000-109.999;14;6;5;3;2;4;5;13;6;4;2;1
45-54;88.000-109.999;14;6;5;3;2;5;4;16;5;3;2;1
45-54;88.000-109.999;14;6;5;3;2;4;5;15;4;3;2;1
45-54;88.000-109.999;14;6;5;3;2;5;4;15;6;3;2;1
45-54;88.000-109.999;14;6;5;3;2;5;7;14;4;3;2;1
45-54;88.000-109.999;12;5;4;3;2;4;6;13;7;5;2;1
45-54;110.000-131.999;12;4;6;2;1;5;3;14;13;4;2;1
45-54;<22.000;5;9;2;6;3;7;4;8;5;2;1;4
45-54;<22.000;3;7;2;4;1;5;4;8;6;2;1;3
45-54;<22.000;3;6;1;4;2;5;4;8;4;2;1;3
45-54;<22.000;3;6;2;4;1;5;4;8;4;2;1;3
45-54;<22.000;3;6;2;4;1;5;4;8;4;2;1;3
45-54;<22.000;3;6;2;4;1;5;4;9;3;2;1;4
45-54;<22.000;3;5;2;4;1;6;4;7;3;2;1;3
45-54;22.000-43.999;8;6;4;5;2;5;4;9;5;3;1;2
45-54;22.000-43.999;8;6;3;4;2;5;5;9;4;3;1;2
45-54;22.000-43.999;7;5;3;4;2;4;6;8;7;3;1;2
45-54;22.000-43.999;8;6;4;5;2;5;7;10;3;3;1;2
45-54;22.000-43.999;8;6;3;4;2;5;4;9;5;3;1;2
45-54;22.000-43.999;8;6;4;3;2;7;5;10;5;3;1;2
45-54;22.000-43.999;8;6;4;3;2;7;5;10;5;3;1;2
45-54;22.000-43.999;8;6;4;3;2;5;4;10;4;3;1;2
45-54;22.000-43.999;8;5;3;4;2;6;5;10;3;3;1;2
45-54;44.000-65.999;9;4;3;2;1;3;4;8;3;2;1;1
45-54;44.000-65.999;9;4;3;2;1;3;4;8;4;2;1;1
45-54;44.000-65.999;9;4;3;2;1;3;5;8;4;2;1;1
45-54;44.000-65.999;12;7;5;4;2;5;6;14;5;3;2;1
45-54;44.000-65.999;9;5;4;3;2;3;4;10;4;3;1;2
45-54;44.000-65.999;9;4;3;2;1;3;4;8;3;2;1;1
45-54;44.000-65.999;9;4;3;2;1;3;4;8;5;2;1;1
45-54;44.000-65.999;9;5;3;2;1;4;3;8;4;2;1;1
45-54;44.000-65.999;10;5;4;3;2;6;4;11;5;3;2;1
45-54;66.000-87.999;12;4;6;3;2;5;4;13;5;3;2;1
45-54;66.000-87.999;14;5;6;3;2;4;5;12;7;4;2;1
45-54;66.000-87.999;14;6;5;4;2;9;7;13;10;4;2;1
45-54;66.000-87.999;14;6;5;4;2;3;5;15;4;6;2;1
45-54;Pref. no;14;6;5;4;2;3;5;15;4;6;2;1
45-54;Pref. no;8;5;3;2;1;4;3;9;4;2;1;1
45-54;Pref. no;9;5;3;2;1;4;5;8;6;3;2;2
>54;88.000-109.999;12;5;4;2;1;3;2;6;13;4;3;1
>54;88.000-109.999;15;6;8;3;2;4;5;10;23;7;4;1
>54;88.000-109.999;14;6;5;3;2;4;5;9;12;4;3;1
>54;88.000-109.999;14;6;5;3;2;4;3;7;12;4;2;1
>54;88.000-109.999;14;5;6;3;2;4;3;8;15;5;2;1
>54;88.000-109.999;12;4;6;2;1;3;2;5;14;3;2;1
>54;88.000-109.999;14;5;6;3;2;4;3;7;20;4;2;1
>54;88.000-109.999;9;3;4;2;1;3;2;5;15;4;2;1
>54;88.000-109.999;12;4;6;2;1;3;5;9;14;4;2;1
>54;88.000-109.999;14;6;5;3;2;4;5;10;19;4;2;1
>54;88.000-109.999;14;6;5;3;2;4;4;9;17;6;3;2
>54;88.000-109.999;14;5;6;3;2;4;3;9;18;4;2;1
>54;110.000-131.999;18;4;7;2;3;6;5;9;26;8;3;1
>54;110.000-131.999;18;6;5;3;2;4;7;10;11;3;2;1
>54;110.000-131.999;18;6;9;3;2;5;4;10;29;7;3;1
>54;110.000-131.999;19;6;8;3;2;5;4;9;16;5;2;1
>54;>132.000;18;4;7;2;1;3;2;8;25;6;2;1
>54;>132.000;14;3;6;2;1;4;2;8;10;5;2;1
>54;<22.000;4;8;2;3;1;5;3;4;8;2;0;4
>54;<22.000;5;9;2;3;1;4;2;6;9;2;1;5
>54;<22.000;4;6;2;3;1;5;2;4;8;1;0;3
>54;<22.000;6;8;2;3;1;5;4;7;14;3;1;6
>54;<22.000;4;6;2;3;1;4;3;5;8;2;1;3
>54;<22.000;5;7;2;3;1;4;2;5;8;2;1;3
>54;<22.000;6;8;3;2;1;5;3;7;15;2;1;4
>54;<22.000;7;5;3;2;1;4;2;5;11;3;1;4
>54;<22.000;8;6;4;2;1;3;2;5;10;3;1;4
>54;<22.000;6;5;3;2;1;4;2;5;10;2;1;3
>54;<22.000;6;8;4;3;2;5;4;6;8;3;1;4
>54;<22.000;6;8;3;2;1;5;2;6;17;3;1;4
>54;<22.000;6;5;3;2;1;4;2;5;10;3;1;4
>54;<22.000;6;8;3;2;1;5;4;7;14;3;1;6
>54;<22.000;6;8;3;4;2;7;3;5;12;2;1;4
>54;<22.000;6;8;3;2;1;5;4;7;14;3;1;5
>54;<22.000;6;5;3;2;1;4;2;5;8;2;1;3
>54;<22.000;6;4;3;2;1;4;3;5;8;2;1;3
