age;income;pp;psoe;vox;sumar;blank;q6;age.18.34;age.35.54;age.over54;independent;doctor;unemployed
18-24;88.000-109.999;8;5;2;6;3;11;20;7;2;4;1;3
18-24;<22.000;3;5;1;7;2;12;20;5;2;3;0;6
18-24;<22.000;4;6;1;7;2;10;22;3;1;2;0;5
18-24;<22.000;3;7;1;10;2;12;24;4;1;3;0;6
18-24;<22.000;4;7;2;10;3;9;23;5;1;3;0;6
18-24;<22.000;4;7;2;9;3;10;24;5;1;3;0;6
18-24;22.000-43.999;6;5;2;7;3;12;22;4;2;5;1;4
18-24;22.000-43.999;4;5;1;6;2;7;18;5;1;3;0;4
18-24;22.000-43.999;6;7;2;9;3;8;21;4;2;3;1;4
18-24;44.000-65.999;6;4;2;5;3;10;20;5;2;4;1;3
18-24;44.000-65.999;6;5;3;7;2;9;20;6;3;4;1;3
18-24;44.000-65.999;6;4;2;5;1;7;16;4;2;3;1;2
18-24;66.000-87.999;6;4;2;5;1;7;18;5;2;3;1;2
18-24;Pref. no;7;5;2;6;3;12;22;4;2;3;1;4
18-24;Pref. no;6;5;2;4;3;10;20;6;4;3;1;2
18-24;Pref. no;6;4;2;5;3;10;20;5;2;3;1;4
18-24;Pref. no;6;5;2;4;1;7;18;4;3;3;1;4
18-24;Pref. no;6;5;2;4;1;7;16;5;4;3;1;2
25-34;88.000-109.999;8;5;3;4;2;6;12;8;3;4;1;2
25-34;88.000-109.999;7;5;3;6;2;7;15;8;2;4;1;2
25-34;88.000-109.999;6;4;2;5;1;7;15;6;2;3;1;2
25-34;110.000-131.999;9;4;3;5;2;7;13;6;2;4;1;1
25-34;110.000-131.999;12;5;4;6;3;10;20;12;8;7;2;3
25-34;110.000-131.999;12;6;4;5;3;10;18;8;4;6;2;3
25-34;<22.000;4;6;1;8;2;9;18;5;2;3;1;6
25-34;<22.000;4;6;1;9;2;8;18;5;2;3;1;6
25-34;<22.000;4;6;1;8;2;9;18;5;1;3;0;4
25-34;<22.000;4;6;2;8;3;7;15;6;2;4;1;5
25-34;<22.000;3;6;1;8;2;10;18;6;2;4;0;5
25-34;<22.000;3;6;1;8;2;10;20;6;1;4;0;5
25-34;<22.000;4;7;1;10;2;6;18;6;1;3;1;5
25-34;<22.000;4;6;1;8;2;9;18;6;2;3;1;5
25-34;<22.000;3;5;1;7;2;12;18;6;2;4;1;6
25-34;22.000-43.999;6;8;2;10;3;11;20;10;2;4;1;3
25-34;22.000-43.999;6;8;2;7;3;9;18;8;2;4;1;3
25-34;22.000-43.999;6;7;2;8;3;9;20;10;3;4;1;5
25-34;22.000-43.999;6;8;2;9;3;7;18;8;2;4;1;3
25-34;44.000-65.999;6;5;2;7;3;7;15;6;2;4;1;2
25-34;44.000-65.999;6;5;2;4;1;7;14;7;4;3;1;2
25-34;66.000-87.999;8;6;3;7;2;9;18;6;2;4;1;3
25-34;66.000-87.999;7;6;3;5;2;7;16;6;2;4;1;2
25-34;66.000-87.999;8;5;3;6;2;11;14;9;3;4;1;2
25-34;66.000-87.999;7;5;2;6;3;9;18;9;2;4;1;3
35-44;88.000-109.999;12;7;5;4;2;10;9;18;4;6;2;3
35-44;88.000-109.999;12;8;5;6;3;10;9;18;7;4;2;3
35-44;88.000-109.999;12;6;4;5;2;11;8;20;7;5;2;3
35-44;88.000-109.999;10;6;4;5;2;8;7;14;4;5;2;1
35-44;88.000-109.999;12;8;4;5;3;8;6;18;6;5;2;1
35-44;88.000-109.999;12;8;5;6;3;11;10;21;4;7;2;3
35-44;<22.000;4;6;2;7;3;8;9;12;4;5;1;6
35-44;<22.000;4;6;2;7;3;8;5;11;4;3;1;5
35-44;<22.000;4;7;1;6;2;10;8;12;3;3;0;5
35-44;<22.000;3;6;1;7;2;11;8;12;3;4;1;6
